Ex-Showroom_Price,Fuel_Type,Length,Width,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Seating_Capacity,Model
"Rs. 6,18,015",Petrol,3788 mm,1636 mm,20.1 km/litre,5,180 mm,78PS@5000rpm,104Nm@4000rpm,5,Go
"Rs. 4,22,444",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio Tour
"Rs. 4,80,670",CNG,3695 mm,1600 mm,,5,165 mm,59bhp@6000rpm,78Nm@3500rpm,5,Celerio Tour
"Rs. 4,29,990",Petrol,3610 mm,1645 mm,20.3 km/litre,5,,69PS@5500rpm,99.04nm@4500RPM,5,Santro
"Rs. 5,03,990",Petrol,3610 mm,1645 mm,20.3 km/litre,5,,69PS@5500rpm,99.04nm@4500RPM,5,Santro
"Rs. 5,47,990",CNG,3610 mm,1645 mm,,5,,59PS@5500RPM,99.04nm@4500RPM,5,Santro
"Rs. 5,30,990",Petrol,3610 mm,1645 mm,20.3 km/litre,5,,69PS@5500rpm,10.1kgm@4500RPM,5,Santro
"Rs. 5,12,990",Petrol,3610 mm,1645 mm,20.3 km/litre,5,,69PS@5500rpm,10.1kgm@4500RPM,5,Santro
"Rs. 5,78,990",CNG,3610 mm,1645 mm,,5,,59PS@5500RPM,8.3KGM@4500rpm,5,Santro
"Rs. 5,70,990",Petrol,3610 mm,1645 mm,20.3 km/litre,5,,69PS@5500rpm,10.1kgm@4500RPM,5,Santro
"Rs. 5,56,490",Petrol,3610 mm,1645 mm,20.3 km/litre,5,,69PS@5500rpm,99.04nm@4500RPM,5,Santro
"Rs. 4,60,000",Petrol,3765 mm,1677 mm,23 km/litre,5,,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 5,20,000",Petrol,3746 mm,1647 mm,23 km/litre,5,170 mm,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 5,70,000",Petrol,3746 mm,1647 mm,23 km/litre,5,170 mm,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 5,99,000",Petrol,3746 mm,1647 mm,23 km/litre,5,170 mm,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 6,10,000",Petrol,3746 mm,1647 mm,23 km/litre,5,170 mm,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 6,20,000",Petrol,3746 mm,1647 mm,24 km/litre,5,170 mm,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 6,49,000",Petrol,3746 mm,1647 mm,24 km/litre,5,170 mm,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 6,60,000",Petrol,3746 mm,1647 mm,24 km/litre,5,170 mm,86PS@6000rpm,114NM@3300rpm,5,Tiago
"Rs. 4,81,074",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 4,75,198",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 5,18,198",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 5,24,074",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 4,99,734",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 5,40,350",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 5,42,735",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 5,52,350",Petrol,3600 mm,1600 mm,23.1 km/litre,5,165 mm,68PS@6000rpm,90Nm@3500rpm,5,Celerio X
"Rs. 7,13,898",Petrol,3700 mm,1690 mm,20.89 km/litre,,180 mm,83PS@6000rpm,113Nm@4200RPM,5,Ignis
"Rs. 6,66,898",Petrol,3700 mm,1690 mm,20.89 km/litre,,180 mm,83PS@6000rpm,113Nm@4200RPM,5,Ignis
"Rs. 6,07,841",Petrol,3700 mm,1690 mm,20.89 km/litre,5,180 mm,83PS@6000rpm,113Nm@4200RPM,5,Ignis
"Rs. 5,60,841",Petrol,3700 mm,1690 mm,20.89 km/litre,5,180 mm,83PS@6000rpm,113Nm@4200RPM,5,Ignis
"Rs. 4,83,320",Petrol,3700 mm,1690 mm,20.89 km/litre,,180 mm,83PS@6000rpm,113Nm@4200RPM,5,Ignis
"Rs. 6,30,320",Petrol,3700 mm,1690 mm,20.89 km/litre,,180 mm,83PS@6000rpm,113Nm@4200RPM,5,Ignis
"Rs. 5,83,320",Petrol,3700 mm,1690 mm,20.89 km/litre,,180 mm,83PS@6000rpm,113Nm@4200RPM,5,Ignis
"Rs. 4,95,000",Petrol,3990 mm,1739 mm,20.5 km/litre,5,182 mm,72PS@62050rpm,96Nm@3500rpm,7,Triber
"Rs. 5,59,000",Petrol,3990 mm,1739 mm,20.5 km/litre,5,182 mm,72PS@62050rpm,96Nm@3500rpm,7,Triber
"Rs. 6,09,000",Petrol,3990 mm,1739 mm,20.5 km/litre,5,182 mm,72PS@62050rpm,96Nm@3500rpm,7,Triber
"Rs. 6,63,000",Petrol,3990 mm,1739 mm,20.5 km/litre,5,182 mm,72PS@62050rpm,96Nm@3500rpm,7,Triber
"Rs. 5,06,000",Petrol,3970 mm,1570 mm,16 km/litre,5,200 mm,76.6PS@5800rpm,103.9Nm@3500-4250rpm,5,Rio
"Rs. 5,68,623",Diesel,3970 mm,1570 mm,16 km/litre,5,200 mm,64PS@4000rpm,152Nm@2500RPM,5,Rio
"Rs. 6,70,000",Petrol,3970 mm,1570 mm,16 km/litre,5,200 mm,76.6PS@5800rpm,103.9Nm@3500-4250rpm,5,Rio
"Rs. 6,03,000",Diesel,3970 mm,1570 mm,16 km/litre,5,200 mm,64PS@4000rpm,152Nm@2250RPM,5,Rio
"Rs. 7,39,000",Diesel,3970 mm,1570 mm,16 km/litre,5,200 mm,64PS@4000rpm,152Nm@2250RPM,5,Rio
"Rs. 7,39,000",Diesel,3970 mm,1570 mm,23.7 km/litre,5,200 mm,72PS@4000rpm,183Nm@1800-2400rpm,5,Rio
"Rs. 5,20,300",Petrol,3884 mm,1695 mm,18.16 km/litre,5,170 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Liva
"Rs. 5,81,000",Petrol,3884 mm,1695 mm,18.16 km/litre,5,170 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Liva
"Rs. 6,47,800",Diesel,3884 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Liva
"Rs. 6,30,000",Petrol,3884 mm,1695 mm,18.16 km/litre,5,170 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Liva
"Rs. 7,45,000",Diesel,3884 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Liva
"Rs. 7,04,000",Diesel,3884 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Liva
"Rs. 5,97,700",Petrol,3884 mm,1695 mm,18.16 km/litre,5,170 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Liva
"Rs. 7,20,700",Diesel,3884 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Liva
"Rs. 6,41,700",Petrol,3884 mm,1695 mm,18.16 km/litre,5,170 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Liva
"Rs. 7,56,700",Diesel,3884 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Liva
"Rs. 5,58,400",Petrol,3884 mm,1695 mm,18.16 km/litre,5,170 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Liva
"Rs. 6,86,000",Diesel,3884 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Liva
"Rs. 6,62,700",Petrol,3884 mm,1695 mm,18.16 km/litre,5,170 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Liva
"Rs. 7,77,700",Diesel,3884 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Liva
"Rs. 5,25,021",Petrol,3801 mm,1665 mm,18.97 km/litre,5,154 mm,68PS@5000rpm,104Nm@4000rpm,5,Micra Active
"Rs. 5,99,950",Petrol,3801 mm,1665 mm,19.49 km/litre,5,154 mm,68PS@5000rpm,104Nm@4000rpm,5,Micra Active
"Rs. 5,63,133",Petrol,3801 mm,1665 mm,18.97 km/litre,5,154 mm,68PS@5000rpm,104Nm@4000rpm,5,Micra Active
"Rs. 7,87,980",Diesel,3825 mm,1695 mm,22.95 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Bolt
"Rs. 6,61,111",Diesel,3825 mm,1695 mm,22.95 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Bolt
"Rs. 6,93,798",Diesel,3825 mm,1695 mm,22.95 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Bolt
"Rs. 7,19,661",Diesel,3825 mm,1695 mm,22.95 km/litre,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,5,Bolt
"Rs. 6,74,960",Petrol,3825 mm,1695 mm,17.57 km/litre,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,5,Bolt
"Rs. 5,29,035",Petrol,3825 mm,1695 mm,17.57 km/litre,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,5,Bolt
"Rs. 5,90,268",Petrol,3825 mm,1695 mm,17.57 km/litre,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,5,Bolt
"Rs. 6,14,515",Petrol,3825 mm,1695 mm,17.57 km/litre,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,5,Bolt
"Rs. 5,56,130",CNG + Petrol,3995 mm,1660 mm,,5,165 mm,83PS@6000rpm,114Nm@6000rpm,5,Xcent Prime
"Rs. 5,36,859",Petrol,3995 mm,1660 mm,15.7 km/litre,5,165 mm,83PS@6000rpm,114Nm@6000rpm,5,Xcent Prime
"Rs. 5,56,130",Petrol,3995 mm,1660 mm,,5,165 mm,83PS@6000rpm,114Nm@6000rpm,5,Xcent Prime
"Rs. 5,36,859",CNG + Petrol,3995 mm,1660 mm,,5,165 mm,81.8bhp@6000rpm,114Nm@6000rpm,5,Xcent Prime
"Rs. 6,39,616",Diesel,3995 mm,1660 mm,20.14 km/litre,5,165 mm,70bhp@4000RPM,114Nm@6000rpm,5,Xcent Prime
"Rs. 6,20,297",Diesel,3995 mm,1660 mm,20 km/litre,5,165 mm,71PS@4000rpm,114Nm@6000rpm,5,Xcent Prime
"Rs. 6,53,523",Diesel,3995 mm,1695 mm,28.4 km/litre,,170 mm,75PS@4000rpm,190Nm@2000rpm,5,Dzire Tour
"Rs. 5,53,423",Petrol,3995 mm,1695 mm,22 km/litre,5,170 mm,83PS@6000rpm,115Nm@4000rpm,5,Dzire Tour
"Rs. 5,98,940",CNG,3995 mm,1695 mm,,5,170 mm,69bhp@6000rpm,115Nm@4000rpm,5,Dzire Tour
"Rs. 5,59,693",Petrol,3995 mm,1710 mm,18.6 km/litre,5,165 mm,84PS@6000rpm,115Nm@4000rpm,5,Elite I20
"Rs. 6,97,803",Diesel,3985 mm,1734 mm,22.54 km/litre,6,170 mm,90PS@4000rpm,220Nm@1500rpm,5,Elite I20
"Rs. 6,34,950",Petrol,3985 mm,1734 mm,18.6 km/litre,5,170 mm,84PS@6000rpm,115Nm@4000rpm,5,Elite I20
"Rs. 7,70,803",Diesel,3985 mm,1734 mm,22.54 km/litre,6,170 mm,90PS@4000rpm,220Nm@1500rpm,5,Elite I20
"Rs. 7,21,693",Petrol,3985 mm,1734 mm,18.6 km/litre,5,170 mm,84PS@6000rpm,115Nm@4000rpm,5,Elite I20
"Rs. 8,76,103",Diesel,3985 mm,1734 mm,22.54 km/litre,6,170 mm,90PS@4000rpm,220Nm@1500rpm,5,Elite I20
"Rs. 8,08,993",Petrol,3995 mm,1734 mm,18.15 km/litre,5,170 mm,84PS@6000rpm,114Nm@4000rpm,5,Elite I20
"Rs. 9,34,003",Diesel,3985 mm,1734 mm,22.54 km/litre,6,170 mm,90PS@4000rpm,220Nm@1500-2750rpm,5,Elite I20
"Rs. 9,20,993",Petrol,3985 mm,1734 mm,18.6 km/litre,5,170 mm,83PS@6000rpm,115Nm@4000rpm,5,Elite I20
"Rs. 7,51,693",Petrol,3985 mm,1734 mm,18.6 km/litre,5,170 mm,84PS@6000rpm,115Nm@4000rpm,5,Elite I20
"Rs. 8,31,693",Petrol,3985 mm,1734 mm,18.6 km/litre,5,170 mm,84PS@6000rpm,115Nm@4000rpm,5,Elite I20
"Rs. 8,46,103",Diesel,3985 mm,1734 mm,22.54 km/litre,6,170 mm,90PS@4000rpm,220Nm@1500rpm,5,Elite I20
"Rs. 5,79,900",Petrol,3995 mm,1680 mm,20.5 km/litre,5,,83PS@6000rpm,114Nm@4000rpm,5,Aura
"Rs. 6,55,900",Petrol,3995 mm,1680 mm,20.5 km/litre,5,,83PS@6000rpm,114Nm@4000rpm,5,Aura
"Rs. 7,05,800",Petrol,3995 mm,1680 mm,20.1 km/litre,5,,83PS@6000rpm,114Nm@4000rpm,5,Aura
"Rs. 7,29,900",Petrol,3995 mm,1680 mm,20.5 km/litre,5,,83PS@6000rpm,114Nm@4000rpm,5,Aura
"Rs. 8,04,800",Petrol,3995 mm,1680 mm,20.1 km/litre,5,,83PS@6000rpm,114Nm@4000rpm,5,Aura
"Rs. 7,85,900",Petrol,3995 mm,1680 mm,20.5 km/litre,5,,83PS@6000rpm,114Nm@4000rpm,5,Aura
"Rs. 7,28,900",CNG + Petrol,3995 mm,1680 mm,20.5 km/litre,5,,69PS@6000rpm,95Nm@4000rpm,5,Aura
"Rs. 8,54,900",Petrol,3995 mm,1680 mm,20.5 km/litre,5,,100PS@6000rpm,172Nm@1500-4000rpm,5,Aura
