Ex-Showroom_Price,Fuel_Type,Length,Width,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Seating_Capacity,Model
"Rs. 7,77,400",Diesel,3995 mm,1705 mm,26.1 km/litre,5,,100PS@3750RPM,215Nm@1750-3000RPM,5,Aspire
"Rs. 8,17,400",Diesel,3995 mm,1704 mm,26.1 km/litre,5,,100PS@3750RPM,215Nm@1750-3000RPM,5,Aspire
"Rs. 8,62,400",Diesel,3995 mm,1704 mm,26.1 km/litre,5,,100PS@3700RPM,215Nm@1750-3000RPM,5,Aspire
"Rs. 7,82,400",Petrol,3995 mm,1704 mm,19.4 km/litre,5,,96PS@6500rpm,120Nm@4250rpm,5,Aspire
"Rs. 7,37,400",Petrol,3995 mm,1704 mm,19.4 km/litre,5,,96PS@6500rpm,120Nm@4250rpm,5,Aspire
"Rs. 7,58,314",CNG,3995 mm,1704 mm,,5,,96PS@6300rpm,120Nm@4250rpm,5,Aspire
"Rs. 7,62,400",Petrol,3995 mm,1704 mm,19.4 km/litre,5,,96PS@6500rpm,120Nm@4250rpm,5,Aspire
"Rs. 8,42,400",Diesel,3995 mm,1704 mm,26.1 km/litre,5,,100PS@3750RPM,215Nm@1750-3000RPM,5,Aspire
"Rs. 6,27,100",Petrol,4369 mm,1695 mm,16.78 km/litre,5,170 mm,90PS@5600rpm,132Nm@3000rpm,5,Platinum Etios
"Rs. 7,18,600",Petrol,4369 mm,1695 mm,16.78 km/litre,5,170 mm,90PS@5600rpm,132Nm@3000rpm,5,Platinum Etios
"Rs. 7,34,700",Diesel,4369 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Platinum Etios
"Rs. 8,28,600",Diesel,4369 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Platinum Etios
"Rs. 8,88,400",Diesel,4369 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Platinum Etios
"Rs. 7,78,400",Petrol,4369 mm,1695 mm,16.78 km/litre,5,170 mm,90PS@5600rpm,132Nm@3000rpm,5,Platinum Etios
"Rs. 6,89,600",Petrol,4369 mm,1695 mm,16.78 km/litre,5,170 mm,90PS@5600rpm,132Nm@3000rpm,5,Platinum Etios
"Rs. 7,99,600",Diesel,4369 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Platinum Etios
"Rs. 9,13,400",Diesel,4369 mm,1695 mm,23.59 km/litre,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Platinum Etios
"Rs. 8,03,400",Petrol,4369 mm,1695 mm,16.78 km/litre,5,170 mm,90PS@5600rpm,132Nm@3000rpm,5,Platinum Etios
"Rs. 8,02,000",Petrol,3895 mm,1735 mm,16.78 km/litre,5,174 mm,90PS@5600rpm,132Nm@3000rpm,5,Etios Cross
"Rs. 6,50,000",Petrol,3895 mm,1735 mm,17.71 km/litre,5,174 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Cross
"Rs. 7,97,500",Diesel,3895 mm,1735 mm,23.59 km/litre,5,174 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Cross
"Rs. 7,66,000",Diesel,3895 mm,1735 mm,23.59 km/litre,5,174 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Cross
"Rs. 6,68,500",Petrol,3895 mm,1735 mm,17.71 km/litre,5,174 mm,80PS@5600rpm,104Nm@3100rpm,5,Etios Cross
"Rs. 8,16,000",Diesel,3895 mm,1735 mm,23.59 km/litre,5,174 mm,68PS@3800rpm,170Nm@1800-2400rpm,5,Etios Cross
"Rs. 6,57,628",Diesel,3991 mm,1740 mm,20.08 km/litre,5,172 mm,65PS@4000rpm,160Nm@2000rpm,5,Verito Vibe
"Rs. 6,85,729",Diesel,3991 mm,1740 mm,20.08 km/litre,5,172 mm,65PS@4000rpm,160Nm@2000rpm,5,Verito Vibe
"Rs. 7,50,428",Diesel,3991 mm,1740 mm,20.08 km/litre,5,172 mm,65PS@4000rpm,160Nm@2000rpm,5,Verito Vibe
"Rs. 6,77,618",Diesel,3989 mm,1706 mm,20 km/litre,,205 mm,93PS@4000RPM,209Nm@2000rpm,5,Urban Cross
"Rs. 7,39,074",Diesel,3989 mm,1706 mm,20 km/litre,,,93PS@4000RPM,209Nm@2000rpm,5,Urban Cross
"Rs. 9,77,516",Petrol,3989 mm,1706 mm,17.1 km/litre,,205 mm,140ps@5500rpm,210Nm@2000-4000RPM,5,Urban Cross
"Rs. 8,10,211",Diesel,3989 mm,1706 mm,20 km/litre,,205 mm,93PS@4000RPM,209Nm@2000rpm,5,Urban Cross
"Rs. 7,21,900",Petrol,3995 mm,1745 mm,23.87 km/litre,5,,89PS@6000 rpm,113Nm@4400 rpm,5,Glanza
"Rs. 7,58,200",Petrol,3995 mm,1745 mm,21.01 km/litre,5,,82PS@6000 rpm,113Nm@4200 rpm,5,Glanza
"Rs. 8,29,900",Petrol,3995 mm,1745 mm,19.56 km/litre,5,,82PS@6000 rpm,113Nm@4200 rpm,5,Glanza
"Rs. 8,90,200",Petrol,3995 mm,1745 mm,19.56 km/litre,5,,82PS@6000 rpm,113Nm@4200 rpm,5,Glanza
"Rs. 6,97,900",Petrol,3995 mm,1745 mm,19.56 km/litre,5,,82PS@6000 rpm,113Nm@4200 rpm,5,Glanza
"Rs. 7,96,132",Diesel,3989 mm,1706 mm,20.5 km/litre,5,205 mm,93PS@4000RPM,209Nm@2000rpm,5,Avventura
"Rs. 7,11,801",Diesel,3989 mm,1706 mm,20.5 km/litre,5,205 mm,93PS@4000RPM,209Nm@2000rpm,5,Avventura
"Rs. 8,76,341",Diesel,3989 mm,1706 mm,20.5 km/litre,5,205 mm,93PS@4000RPM,209Nm@2000rpm,5,Avventura
"Rs. 7,45,000",Petrol,3955 mm,1694 mm,18.2 km/litre,5,165 mm,90PS@6000rpm,110Nm@4800rpm,5,Jazz
"Rs. 9,09,000",Petrol,3955 mm,1694 mm,19 km/litre,5,165 mm,90PS@6000rpm,110Nm@4800rpm,5,Jazz
"Rs. 7,89,000",Petrol,3955 mm,1694 mm,18.2 km/litre,5,165 mm,90PS@6000rpm,110Nm@4800rpm,5,Jazz
"Rs. 8,65,000",Petrol,3955 mm,1694 mm,19 km/litre,5,165 mm,90PS@6000rpm,110Nm@4800rpm,5,Jazz
"Rs. 8,16,500",Diesel,3955 mm,1694 mm,27.3 km/litre,6,165 mm,100PS@3600rpm,200Nm@1750rpm,5,Jazz
"Rs. 8,96,500",Diesel,3955 mm,1694 mm,27.3 km/litre,6,165 mm,100PS@3600rpm,200Nm@1750rpm,5,Jazz
"Rs. 9,40,500",Diesel,3955 mm,1694 mm,27.3 km/litre,6,165 mm,100PS@3600rpm,200Nm@1750rpm,5,Jazz
"Rs. 9,28,000",Petrol,3955 mm,1694 mm,18.2 km/litre,5,165 mm,89 bhp@6000rpm,110 Nm@4800rpm,5,Jazz
"Rs. 26,80,000",Diesel,4398 mm,1818 mm,16.3 km/litre,9,,173PS@3750rpm,350Nm@1750-2500rpm,5,Compass Trailhawk
"Rs. 27,60,000",Diesel,4398 mm,1818 mm,16.3 km/litre,9,,173PS@3750rpm,350Nm@1750-2500rpm,5,Compass Trailhawk
"Rs. 27,34,834",Diesel,4825 mm,1860 mm,13.8 km/litre,5,220 mm,177PS@3600rpm,380Nm@1800-2800rpm,7,Mu-X
"Rs. 29,31,534",Diesel,4825 mm,1860 mm,13.8 km/litre,5,220 mm,177PS@3600rpm,380Nm@1800-2800rpm,7,Mu-X
"Rs. 27,70,150",Diesel,4850 mm,1960 mm,12.35 km/litre,7,,178bhp@400rpm,420Nm@1600-2600rpm,,Alturas G4
"Rs. 30,70,150",Diesel,4850 mm,1960 mm,12.05 km/litre,7,,178Bhp @ 4000,420Nm @1600-2600,7,Alturas G4
"Rs. 28,14,500",Diesel,4486 mm,1839 mm,17.06 km/litre,8,149 mm,141PS@4000rpm,340Nm@1750-2750rpm,5,Tiguan
"Rs. 31,53,500",Diesel,4486 mm,1839 mm,17.06 km/litre,,149 mm,141PS@4000rpm,340Nm@1750-2750rpm,,Tiguan
"Rs. 28,27,001",Petrol,4592 mm,1855 mm,14.4 km/litre,7,198 mm,154PS@6500rpm,189NM@4300rpm,5,Cr-V
"Rs. 30,67,001",Diesel,4592 mm,1855 mm,19.5 km/litre,9,198 mm,120PS@4000RPM,300NM@2000rpm,7,Cr-V
"Rs. 32,77,001",Diesel,4592 mm,1855 mm,18.3 km/litre,9,208 mm,120PS@4000RPM,300NM@2000rpm,7,Cr-V
"Rs. 28,99,599",Petrol,4861 mm,1864 mm,13.7 km/litre,7,164 mm,180PS@6200RPM,250NM@1250-5000rpm,5,Superb Sportline
"Rs. 31,49,599",Diesel,4861 mm,1864 mm,18.19 km/litre,6,149 mm,177PS@4000RPM,350Nm@1500-3500rpm,5,Superb Sportline
"Rs. 30,21,200",Diesel,4456 mm,1796 mm,20.38 km/litre,6,161 mm,143PS@4000rpm,320Nm@1750-3000rpm,5,A3
"Rs. 32,21,200",Diesel,4456 mm,1796 mm,20.38 km/litre,6,161 mm,143PS@4000rpm,320Nm@1750-3000rpm,5,A3
"Rs. 29,20,750",Petrol,4456 mm,1796 mm,19.2 km/litre,7,161 mm,150PS@6000RPM,250NM@1250-5000rpm,5,A3
"Rs. 31,20,750",Petrol,4456 mm,1796 mm,19.2 km/litre,7,161 mm,150PS@6000RPM,250NM@1250-5000rpm,5,A3
"Rs. 29,88,311",Petrol,4393 mm,1786 mm,14.81 km/litre,7,190 mm,122PS@5000rpm,200Nm@1250-4000rpm,5,Mercedes-Benz B-Class
"Rs. 30,89,851",Diesel,4393 mm,1786 mm,15 km/litre,7,190 mm,136PS@4400RPM,300Nm@1600-3000rpm,5,Mercedes-Benz B-Class
"Rs. 31,98,662",Petrol,4393 mm,1786 mm,14.81 km/litre,7,190 mm,122PS@5000rpm,200Nm@1250-4000rpm,5,Mercedes-Benz B-Class
"Rs. 33,03,282",Diesel,4393 mm,1786 mm,15 km/litre,7,190 mm,136PS@4400RPM,300Nm@1600-3000rpm,5,Mercedes-Benz B-Class
"Rs. 35,99,000",Petrol,4630 mm,1777 mm,15.04 km/litre,7,160 mm,183PS@5500rpm,300Nm@1200-4000rpm,5,Mercedes-Benz Cla-Class
"Rs. 31,72,000",Diesel,4630 mm,1777 mm,17.9 km/litre,,160 mm,136PS@4400RPM,300Nm@1600-3000rpm,5,Mercedes-Benz Cla-Class
"Rs. 36,99,000",Diesel,4630 mm,1777 mm,17.9 km/litre,,160 mm,136PS@4400RPM,300Nm@1600-3000rpm,5,Mercedes-Benz Cla-Class
"Rs. 32,99,599",Diesel,4861 mm,1864 mm,18.19 km/litre,6,149 mm,177PS@4000RPM,350Nm@1500-3500rpm,5,Kodiaq
"Rs. 36,78,599",Diesel,4861 mm,1864 mm,18.19 km/litre,6,149 mm,148bhp@4000RPM,340Nm@1500-3500rpm,5,Kodiaq
"Rs. 32,99,599",Diesel,4861 mm,1864 mm,18.19 km/litre,6,149 mm,177PS@4000RPM,350Nm@1500-3500rpm,5,Kodiaq
"Rs. 34,07,407",Petrol,4565 mm,2120 mm,10 km/litre,6,170 mm,250PS@5500RPM,340NM@2750-5000rpm,2,Avanti
"Rs. 36,77,200",Diesel,4388 mm,1831 mm,15.73 km/litre,7,170 mm,148hp@3500-4000rpm,340Nm@1750-2750rpm,5,Q3
"Rs. 39,92,200",Diesel,4388 mm,1831 mm,15.73 km/litre,7,170 mm,177PS@4200rpm,380Nm@1750-2500rpm,5,Q3
"Rs. 43,61,000",Diesel,4388 mm,1831 mm,15.73 km/litre,7,170 mm,177PS@4200rpm,380Nm@1750-2500rpm,5,Q3
"Rs. 34,96,750",Petrol,4388 mm,1831 mm,16.9 km/litre,7,170 mm,150PS@4200rpm,250Nm@1750-2500rpm,5,Q3
"Rs. 36,00,000",Petrol,3982 mm,1727 mm,21.15 km/litre,6,,116PS@4000rpm,270Nm@1750-2250rpm,5,Cooper 5 Door
"Rs. 38,30,000",Petrol,3850 mm,1727 mm,14.59 km/litre,6,,192PS@5000-6000rpm,280NM@1250-4600rpm,4,Convertible
"Rs. 39,90,000",Diesel,4425 mm,1863 mm,,8,211 mm,190bhp,400Nm,5,Xc40
"Rs. 43,90,000",Diesel,4425 mm,1863 mm,,8,211 mm,190bhp,400Nm,5,Xc40
"Rs. 39,90,000",Petrol,4425 mm,1863 mm,,8,211 mm,190PS@4000rpm,300Nm@1750rpm,5,Xc40
"Rs. 41,20,000",Petrol,4253 mm,1801 mm,13.8 km/litre,,146 mm,192PS@6200RPM,280NM@1250rpm,5,Clubman
"Rs. 41,49,000",Petrol,4726 mm,1842 mm,,7,,150PS@5000-6000rpm,250Nm@1500-3500,5,A4
"Rs. 45,07,000",Petrol,4726 mm,1842 mm,,7,,150PS@5000-6000rpm,250Nm@1500-3500,5,A4
"Rs. 43,50,000",Petrol,3874 mm,1727 mm,16.47 km/litre,8,,231hp@5200-6200rpm,320 Nm@1450-4800rpm,2,John Cooper Works
"Rs. 44,98,000",Petrol,4691 mm,1850 mm,11 km/litre,8,125 mm,250PS@5500RPM,365Nm@1500-4000rpm,5,Xe
"Rs. 44,98,000",Diesel,4691 mm,1850 mm,11 km/litre,8,125 mm,180PS@4000rpm,430NM@1750-2500rpm,4,Xe
"Rs. 46,33,000",Diesel,4691 mm,1850 mm,11 km/litre,8,125 mm,180PS@4000rpm,430NM@1750-2500rpm,4,Xe
"Rs. 46,33,000",Petrol,4691 mm,1850 mm,11 km/litre,8,125 mm,250PS@5500RPM,365Nm@1500-4000rpm,5,Xe
"Rs. 54,36,329",Petrol,4961 mm,2091 mm,13.12 km/litre,8,,247PS@5500rpm,340Nm@1750-2000RPM,5,Xf
"Rs. 60,73,446",Petrol,5252 mm,1899 mm,13.12 km/litre,8,100 mm,247PS@5500rpm,340Nm@1750-2000RPM,5,Xf
"Rs. 61,38,811",Diesel,5252 mm,1899 mm,19.33 km/litre,8,100 mm,180ps@5500rpm,430Nm@1750-2000rpm,5,Xf
"Rs. 55,06,622",Diesel,5067 mm,2091 mm,19.33 km/litre,8,,180ps@5500rpm,430Nm@1750-2000rpm,5,Xf
"Rs. 49,77,080",Diesel,5067 mm,2091 mm,19.33 km/litre,8,,180ps@5500rpm,430Nm@1750-2000rpm,5,Xf
"Rs. 50,38,000",Petrol,4421 mm,1793 mm,19.2 km/litre,7,160 mm,148 bhp @ 5100 rpm,250 Nm @ 1250 RPM,4,A3 Cabriolet
"Rs. 54,42,200",Petrol,4933 mm,1874 mm,14.11 km/litre,7,,245PS@5000-6500rpm,370Nm@1600-4500rpm,5,A6
"Rs. 59,42,200",Petrol,4933 mm,1874 mm,14.11 km/litre,7,,245PS@5000-6500rpm,370Nm@1600-4500rpm,5,A6
"Rs. 59,30,000",Diesel,4657 mm,1881 mm,18.56 km/litre,8,212 mm,190PS@4000rpm,400Nm@1750-2500rpm,5,X3
"Rs. 58,80,000",Petrol,4657 mm,1881 mm,18.56 km/litre,8,212 mm,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,5,X3
"Rs. 56,00,000",Diesel,4657 mm,1881 mm,18.56 km/litre,8,212 mm,190PS@4000rpm,400Nm@1750-2500rpm,5,X3
"Rs. 57,06,000",Diesel,4600 mm,2069 mm,,9,167 mm,179PS@4000rpm,430NM@1750rpm,7,Discovery Sport
"Rs. 60,89,000",Diesel,4600 mm,2069 mm,,9,167 mm,179PS@4000rpm,430NM@1750rpm,7,Discovery Sport
"Rs. 58,90,000",Diesel,4963 mm,1879 mm,,,152 mm,190PS@4250rpm,400NM@1750rpm,5,S90
"Rs. 72,43,000",Petrol,4718 mm,1843 mm,13.57 km/litre,7,,333PS@5400-6400RPM,500Nm@1370-4500rpm,5,S5
"Rs. 73,30,000",Diesel,4922 mm,2218 mm,13.38 km/litre,8,,265HP@4000rpm,620Nm@1500-2500rpm,5,X5
"Rs. 82,90,000",Diesel,4922 mm,2218 mm,13.38 km/litre,8,,265HP@4000rpm,620Nm@1500-2500rpm,5,X5
"Rs. 82,90,000",Petrol,4922 mm,2218 mm,11.24 km/litre,8,,340HP@4000rpm,450Nm@1500-5200rpm,5,X5
"Rs. 74,62,000",Petrol,4784 mm,2080 mm,13 km/litre,6,137 mm,401PS@6550RPM,515Nm@4250-4300RPM,4,Mustang
"Rs. 78,82,867",Diesel,4828 mm,1943 mm,12.8 km/litre,,206 mm,240PS@3600rpm,570Nm@2000rpm,5,Grand Cherokee
"Rs. 89,31,819",Diesel,4828 mm,1943 mm,12.8 km/litre,,,240PS@3600rpm,570Nm@2000rpm,5,Grand Cherokee
"Rs. 1,14,00,000",Petrol,4846 mm,1954 mm,12.8 km/litre,8,210 mm,468 bhp @ 6250 rpm,624 Nm @ 4100 rpm,5,Grand Cherokee
"Rs. 75,15,000",Petrol,4828 mm,1943 mm,8.61 km/litre,,,286PS@6350rpm,347Nm@4300rpm,5,Grand Cherokee
"Rs. 77,11,338",Petrol,4703 mm,1786 mm,10 km/litre,,,334PS@6000RPM,480Nm@1600-4000RPM,4,Mercedes-Benz E-Class Cabriolet
"Rs. 81,80,000",Petrol,4461 mm,1854 mm,9.8-10.0 km/litre,7,,410hp@5230-7000RPM,550Nm@2350-5230rpm,4,M2 Competition
"Rs. 89,95,000",Petrol,4379 mm,1801 mm,7.4 km/litre,,,300PS@6500rpm,380Nm@1950-4500RPM,2,718
"Rs. 85,95,000",Petrol,4379 mm,1801 mm,7.4 km/litre,,,300PS@6500rpm,380Nm@1950-4500RPM,2,718
"Rs. 88,20,000",Diesel,5120 mm,1934 mm,11.6 km/litre,7,307 mm,258PS@3600rpm,619Nm@1600-2400RPM,5,Mercedes-Benz Gls
"Rs. 1,91,99,181",Petrol,5146 mm,1982 mm,12 km/litre,7,307 mm,557PS@5500RPM,760Nm@5250RPM,7,Mercedes-Benz Gls
"Rs. 87,76,900",Petrol,5146 mm,1982 mm,12 km/litre,7,307 mm,333PS@5250rpm,480Nm@5250rpm,7,Mercedes-Benz Gls
"Rs. 86,90,000",Petrol,5146 mm,1982 mm,12 km/litre,7,307 mm,333PS@5250rpm,480Nm@5250rpm,7,Mercedes-Benz Gls
"Rs. 86,90,000",Diesel,5120 mm,1934 mm,11.6 km/litre,7,307 mm,258PS@3600rpm,619Nm@1600-2400RPM,5,Mercedes-Benz Gls
"Rs. 96,30,000",Diesel,4840 mm,1885 mm,11.13 km/litre,5,,173PS@3400rpm,410Nm@1600-2800rpm,7,Land Cruiser Prado
"Rs. 99,00,000",Petrol,5000 mm,1895 mm,18 km/litre,,,262PS@6000rpm,335Nm@4600rpm,5,Rx 450H
"Rs. 1,11,41,200",Petrol,4649 mm,,10.8 km/litre,7,160 mm,450PS@5700-6700rpm,600Nm@1900-5000rpm,4,Rs5
"Rs. 1,22,90,000",Diesel,5120 mm,2169 mm,17.66 km/litre,8,152 mm,265PS@4000RPM,620Nm@2000-2500RPM,4,7-Series
"Rs. 1,32,00,000",Diesel,5120 mm,2169 mm,17.66 km/litre,8,152 mm,265PS@4000RPM,620Nm@2000-2500RPM,4,7-Series
"Rs. 1,35,10,000",Diesel,5120 mm,2169 mm,17.66 km/litre,8,152 mm,265PS@4000RPM,620Nm@2000-2500RPM,4,7-Series
"Rs. 1,35,10,000",Petrol,5120 mm,2169 mm,11.86 km/litre,8,152 mm,340PS@5500-6500RPM,450Nm@1500-5200rpm,4,7-Series
"Rs. 1,65,00,000",Hybrid,5219 mm,2142 mm,,8,152 mm,286PS@5000-6000RPM,450Nm@1380-5000RPM,4,7-Series
"Rs. 2,42,50,000",Petrol,5219 mm,2142 mm,7.96 km/litre,8,152 mm,609PS@5400-6500RPM,850Nm@1550-5000RPM,4,7-Series
"Rs. 1,33,59,500",Petrol,5052 mm,1968 mm,,8,200 mm,340PS@5000rpm,500Nm@1370rpm,7,Q8
"Rs. 1,35,58,438",Diesel,5116 mm,1899 mm,13.5 km/litre,7,140 mm,258PS@3600rpm,620Nm@1600-2400rpm,5,Mercedes-Benz S-Class
"Rs. 1,39,76,653",Petrol,5246 mm,1899 mm,7.8 km/litre,7,109 mm,333PS@6000RPM,480Nm@1600-4000RPM,5,Mercedes-Benz S-Class
"Rs. 2,55,00,000",Petrol,5027 mm,1899 mm,14 km/litre,7,140 mm,450PS@5500-6000RPM,900Nm@2750-4500rpm,4,Mercedes-Benz S-Class
"Rs. 1,45,12,054",Diesel,5003 mm,2158 mm,7.9 km/litre,6,,275PS@4000rpm,600Nm@2000-2600rpm,4,Levante
"Rs. 1,48,63,774",Diesel,5003 mm,2158 mm,7.9 km/litre,6,,350PS@5750rpm,500Nm@4500-5000rpm,4,Levante
"Rs. 1,53,83,399",Diesel,5003 mm,2158 mm,7.9 km/litre,6,,430PS@5750rpm,580Nm@4500-5000rpm,4,Levante
"Rs. 2,18,75,136",Petrol,4763 mm,1855 mm,,9,205 mm,585hp@6000rpm,850Nm@2500-3500rpm,7,Mercedes-Benz G-Class
"Rs. 1,50,00,000",Diesel,4817 mm,1931 mm,,9,241 mm,289PS@1200rpm,600Nm@2500rpm,7,Mercedes-Benz G-Class
"Rs. 1,56,00,000",Petrol,5302 mm,1945 mm,,8,,340PS@5000rpm,500Nm@1370rpm,4,A8 L
"Rs. 1,72,29,579",Petrol,4881 mm,1915 mm,10 km/litre,6,100 mm,460PS@7000RPM,520NM@4750rpm,4,Granturismo
"Rs. 1,79,00,000",Diesel,5262 mm,1948 mm,7.9 km/litre,6,100 mm,275PS@7000rpm,600Nm@2000-2600rpm,4,Quattroporte
"Rs. 1,96,00,000",Hybrid,4770 mm,1920 mm,,,,299PS@6600rpm,350Nm@5100rpm,4,Lc 500H
"Rs. 2,73,08,312",Petrol,5453 mm,1899 mm,7.8 km/litre,7,,630PS@4800RPM,1000Nm@2300-4300rpm,4,Mercedes-Benz Maybach
"Rs. 1,98,90,000",Petrol,5246 mm,1899 mm,7.8 km/litre,9,,453PS@5500RPM,700Nm@1800-3500RPM,4,Mercedes-Benz Maybach
"Rs. 2,12,63,000",Petrol,5049 mm,1937 mm,10.63 km/litre,7,215 mm,550PS@6000RPM,770Nm@1960 - 4500rpm,4,Panamera
"Rs. 2,26,13,000",Petrol,5199 mm,1937 mm,10.63 km/litre,7,215 mm,550PS@6000RPM,770Nm@1960 - 4500rpm,4,Panamera
"Rs. 2,17,47,000",Petrol,5049 mm,1937 mm,10.63 km/litre,7,215 mm,550PS@6000RPM,770Nm@1960 - 4500rpm,4,Panamera
"Rs. 2,32,90,000",Diesel,5080 mm,1980 mm,18 km/litre,6,,261PS@6000rpm,650Nm@1600-2600rpm,7,Lx 450D
"Rs. 2,34,91,293",Petrol,5027 mm,1899 mm,7.8 km/litre,,,455PS@5500RPM,700Nm@1800-3500RPM,4,Mercedes-Benz S-Class Cabriolet
"Rs. 2,72,45,000",Petrol,4440 mm,2029 mm,6.71 km/litre,7,110 mm,610PS@8250rpm,560Nm@6500rpm,2,R8
"Rs. 3,00,00,000",Petrol,5112 mm,2181 mm,7.8 km/litre,,,650PS@6000rpm,850Nm@2250-4500rpm,5,Urus
"Rs. 3,37,91,059",Petrol,4807 mm,2226 mm,8.6 km/litre,8,142 mm,590PS@6000rpm,720Nm@1800rpm,4,Continental Gt
"Rs. 3,50,00,000",Petrol,4569 mm,1910 mm,9 km/litre,7,119 mm,560PS@7500rpm,755NM@4750rpm,2,Portofino
"Rs. 4,59,41,557",Petrol,5141 mm,1998 mm,19 km/litre,8,,608PS@6000RPM,900Nm@1350rpm,5,Bentayga
"Rs. 3,75,42,069",Petrol,5140 mm,1998 mm,8.77 km/litre,8,,550PS@6000RPM,770Nm@1350rpm,5,Bentayga
"Rs. 4,04,56,503",Petrol,4385 mm,1865 mm,,,130 mm,608PS@6500rpm,700Nm@1500rpm,2,Db 11
"Rs. 4,25,31,500",Petrol,4571 mm,1951 mm,9 km/litre,7,113 mm,605PS@9000rpm,540Nm@6000rpm,2,458 Speciale
"Rs. 4,67,09,733",Petrol,5399 mm,1948 mm,17.3 km/litre,8,150 mm,563PS@5250rpm,780Nm@1700rpm,5,Rolls-Royce Ghost Series Ii
"Rs. 5,32,47,201",Petrol,5569 mm,1948 mm,7.29 km/litre,8,150 mm,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm,5,Rolls-Royce Ghost Series Ii
"Rs. 5,00,25,840",Petrol,5269 mm,1947 mm,10.2 km/litre,8,,625PS@5600rpm,800Nm@1500-5500rpm,4,Rolls-Royce Wraith
"Rs. 5,25,71,294",Petrol,5575 mm,2208 mm,9.5 km/litre,8,142 mm,512PS@4200rpm,1020Nm@1750rpm,4,Mulsanne
"Rs. 6,95,00,000",Petrol,5341 mm,2000 mm,22.4-21.9 km/litre,8,,563@5000rpm,850 Nm@1600rpm,5,Rolls-Royce Cullinan
"Rs. 7,73,12,661",Petrol,5612 mm,1987 mm,22.8 km/litre,8,164 mm,460PS@5350rpm,720Nm@3500rpm,4,Rolls-Royce Phantom Coupe
"Rs. 19,21,42,937",Petrol,4544 mm,2038 mm,5.95 km/litre,7,,1479bhp@6700rpm,1600Nm@2000-6000rpm,2,Chiron
"Rs. 21,21,55,397",Petrol,4544 mm,2038 mm,5.95 km/litre,7 Dual Clutch,,1600Nm@2000-6000rpm,1479bhp@6700rpm,2,Chiron
"Rs. 2,63,000",Petrol,2752 mm,1312 mm,35 km/litre,5,,13bhp@5500rpm,18.9Nm@4000rpm,4,Qute (Re60)
"Rs. 2,83,000",CNG,2752 mm,1312 mm,,5,,12bhp@5500rpm,16.1Nm@4000rpm,4,Qute (Re60)
"Rs. 2,94,800",Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,48PS@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 2,99,900",Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,48PS@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 3,52,900",Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,47hp@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 3,57,200",Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,48PS@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 3,76,100",Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,48PS@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 4,05,570",CNG + Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,47hp@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 4,09,190",CNG + Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,48PS@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 3,89,600",Petrol,3445 mm,1490 mm,22.05 km/litre,5,160 mm,48PS@6000rpm,69Nm@3500rpm,5,Alto
"Rs. 3,70,500",Petrol,3565 mm,1520 mm,21.4 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 3,76,500",Petrol,3565 mm,1520 mm,21.4 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,09,000",Petrol,3565 mm,1520 mm,21.4 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,15,000",Petrol,3565 mm,1520 mm,21.4 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,32,500",Petrol,3565 mm,1520 mm,21.7 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
"Rs. 4,38,500",Petrol,3565 mm,1520 mm,21.7 km/litre,5,,67PS@5500rpm,90Nm@3500rpm,5,S-Presso
