Displacement,Cylinders,Valves_Per_Cylinder,Cylinder_Configuration,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Emission_Norm,Start_/_Stop_Button,ARAI_Certified_Mileage
1197 cc,4,4,In-line,Injection,32 litres,Petrol,BS IV,Yes,20.89 km/litre
999 cc,3,4,In-line,Injection,40 litres,Petrol,BS 6,,20.5 km/litre
999 cc,3,4,In-line,Injection,40 litres,Petrol,BS 6,,20.5 km/litre
999 cc,3,4,In-line,Injection,40 litres,Petrol,BS 6,,20.5 km/litre
999 cc,3,4,In-line,Injection,40 litres,Petrol,BS 6,Yes,20.5 km/litre
1173 cc,4,4,In-line,Injection,46 litres,Petrol,BS IV,,16 km/litre
1489 cc,4,4,In-line,Injection,46 litres,Diesel,BS IV,,16 km/litre
1173 cc,4,4,In-line,Injection,46 litres,Petrol,BS IV,,16 km/litre
1489 cc,4,4,In-line,Injection,46 litres,Diesel,BS IV,,16 km/litre
1489 cc,4,4,In-line,Injection,46 litres,Diesel,BS IV,,16 km/litre
1248 cc,4,4,In-line,Injection,46 litres,Diesel,BS IV,,23.7 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.16 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.16 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.16 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.16 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.16 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.16 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.16 km/litre
1364 cc,4,2,In-line,Injection,45 litres,Diesel,BS IV,,23.59 km/litre
1198 cc,3,12,In-line,Injection,41 litres,Petrol,BS IV,,18.97 km/litre
1198 cc,3,4,In-line,Injection,41 litres,Petrol,BS IV,,19.49 km/litre
1198 cc,3,12,In-line,Injection,41 litres,Petrol,BS IV,,18.97 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,22.95 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,22.95 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,22.95 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,22.95 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.57 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.57 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.57 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.57 km/litre
1197 cc,4,4,In-line,Injection,43 litres,CNG + Petrol,BS IV,,
1197 cc,4,4,In-line,Injection,43 litres,Petrol,BS IV,,15.7 km/litre
1197 cc,4,4,In-line,Injection,43 litres,Petrol,BS IV,,
1197 cc,4,4,In-line,Injection,43 litres,CNG + Petrol,BS IV,,
1197 cc,4,4,In-line,Injection,43 litres,Diesel,BS IV,,20.14 km/litre
1197 cc,4,4,In-line,Injection,43 litres,Diesel,BS IV,,20 km/litre
1248 cc,4,4,In-line,Injection,42 litres,Diesel,BS IV,,28.4 km/litre
1197 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,,22 km/litre
1197 cc,4,4,In-line,Injection,42 litres,CNG,BS IV,,
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.6 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,22.54 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.6 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,22.54 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.6 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,22.54 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.15 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,Yes,22.54 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.6 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.6 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.6 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,22.54 km/litre
1197 cc,,,In-line,Injection,37 litres,Petrol,BS 6,,20.5 km/litre
1197 cc,,,In-line,Injection,37 litres,Petrol,BS 6,,20.5 km/litre
1197 cc,,,In-line,Injection,37 litres,Petrol,BS 6,,20.1 km/litre
1197 cc,,,In-line,Injection,37 litres,Petrol,BS 6,,20.5 km/litre
1197 cc,,,In-line,Injection,37 litres,Petrol,BS 6,,20.1 km/litre
1197 cc,,,In-line,Injection,37 litres,Petrol,BS 6,Yes,20.5 km/litre
1197 cc,,,In-line,Injection,37 litres,CNG + Petrol,BS 6,,20.5 km/litre
998 cc,,,In-line,Injection,37 litres,Petrol,BS 6,Yes,20.5 km/litre
1186 cc,,,In-line,Injection,37 litres,Diesel,BS 6,,25.35 km/litre
1186 cc,,,In-line,Injection,37 litres,Diesel,BS 6,,20.4 km/litre
1186 cc,,,In-line,Injection,37 litres,Diesel,BS 6,,25.4 km/litre
1186 cc,,,In-line,Injection,37 litres,Diesel,BS 6,Yes,25.35 km/litre
999 cc,3,4,In-line,Injection,45 litres,Petrol,BS IV,,18.78 km/litre
