Displacement,Cylinders,Valves_Per_Cylinder,Cylinder_Configuration,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Emission_Norm,Start_/_Stop_Button,ARAI_Certified_Mileage
2998 cc,6,4,V,Injection,78 litres,Petrol,BS 6,Yes,11.86 km/litre
2998 cc,6,4,V,Injection,46 litres,Hybrid,BS 6,Yes,
6592 cc,12,4,V,Injection,78 litres,Petrol,BS 6,Yes,7.96 km/litre
2995 cc,4,4,V,Injection,85 litres,Petrol,BS 6,Yes,
2987 cc,6,4,V,Injection,90 litres,Diesel,BS IV,Yes,13.5 km/litre
2996 cc,6,4,V,Injection,70 litres,Petrol,BS IV,Yes,7.8 km/litre
3982 cc,8,4,V,Injection,80 litres,Petrol,BS IV,Yes,14 km/litre
2987 cc,6,4,V,Injection,80 litres,Diesel,BS IV,Yes,7.9 km/litre
2979 cc,6,4,V,Injection,80 litres,Diesel,BS IV,Yes,7.9 km/litre
2979 cc,6,4,V,Injection,80 litres,Diesel,BS IV,Yes,7.9 km/litre
3982 cc,8,4,V,Injection,96 litres,Petrol,BS 6,Yes,
2925 cc,6,4,V,Injection,100 litres,Diesel,BS 6,Yes,
2995 cc,8,4,V,Injection,82 litres,Petrol,BS 6,Yes,
4691 cc,8,4,V,Injection,86 litres,Petrol,BS IV,Yes,10 km/litre
2987 cc,6,4,V,Injection,70 litres,Diesel,BS 6,Yes,7.9 km/litre
3456 cc,6,4,V,Injection,82 litres,Hybrid,BS IV,Yes,
5980 cc,12,4,V,Injection,80 litres,Petrol,BS IV,Yes,7.8 km/litre
4663 cc,8,4,V,Injection,80 litres,Petrol,BS IV,Yes,7.8 km/litre
3996 cc,8,4,V,Injection,90 litres,Petrol,BS IV,Yes,10.63 km/litre
3996 cc,8,4,V,Injection,90 litres,Petrol,BS IV,Yes,10.63 km/litre
3996 cc,8,4,V,Injection,90 litres,Petrol,BS IV,Yes,10.63 km/litre
4461 cc,,8,V,Injection,93 litres,Diesel,BS IV,Yes,18 km/litre
4663 cc,8,4,V,Injection,80 litres,Petrol,BS IV,Yes,7.8 km/litre
5204 cc,10,4,V,Injection,75 litres,Petrol,BS IV,Yes,6.71 km/litre
3996 cc,8,8,V,Injection,75 litres,Petrol,BS IV,Yes,7.8 km/litre
5998 cc,12,4,W,Injection,90 litres,Petrol,BS IV,Yes,8.6 km/litre
3855 cc,8,4,V,Injection,92 litres,Petrol,BS IV,Yes,9 km/litre
5950 cc,12,4,W,PGM - Fi,85 litres,Petrol,BS IV,Yes,19 km/litre
3996 cc,12,4,W,PGM - Fi,85 litres,Petrol,BS IV,Yes,8.77 km/litre
5198 cc,12,4,V,Injection,80 litres,Petrol,,Yes,
4497 cc,8,4,V,Injection,86 litres,Petrol,BS IV,Yes,9 km/litre
6593 cc,12,4,V,Injection,82.5 litres,Petrol,BS IV,Yes,17.3 km/litre
6592 cc,12,4,V,Injection,82.5 litres,Petrol,BS IV,Yes,7.29 km/litre
6592 cc,12,4,V,Injection,83 litres,Petrol,BS IV,Yes,10.2 km/litre
6752 cc,8,4,V,Injection,90 litres,Petrol,BS IV,Yes,9.5 km/litre
6750 cc,12,4,V,Injection,,Petrol,BS 6,,22.4-21.9 km/litre
6749 cc,12,4,V,Injection,100 litres,Petrol,BS IV,Yes,22.8 km/litre
7993 cc,16,4,W,PGM - Fi,,Petrol,BS 6,Yes,5.95 km/litre
7993 cc,16,4,W,PGM - Fi,,Petrol,BS 6,Yes,5.95 km/litre
216 cc,,1,In-line,Injection,,Petrol,BS IV,,35 km/litre
216 cc,,1,In-line,Injection,,CNG,BS IV,,
796 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,22.05 km/litre
796 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,22.05 km/litre
796 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,22.05 km/litre
796 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,22.05 km/litre
796 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,22.05 km/litre
796 cc,3,4,In-line,Injection,35 litres,CNG + Petrol,BS 6,,22.05 km/litre
796 cc,3,4,In-line,Injection,35 litres,CNG + Petrol,BS 6,,22.05 km/litre
796 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,22.05 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.4 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.4 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.4 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.4 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.7 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.7 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.7 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.7 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.7 km/litre
998 cc,3,4,In-line,Injection,27 litres,Petrol,BS 6,,21.7 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,CNG,BS 6,,
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23.1 km/litre
1120 cc,3,4,,Injection,43 litres,Diesel,BS IV,,
1120 cc,3,4,,Injection,43 litres,Diesel,BS IV,,
1197 cc,4,4,In-line,Injection,43 litres,Petrol,BS IV,,19.77 km/litre
1197 cc,4,4,In-line,Injection,43 litres,Petrol,BS IV,,19.77 km/litre
1197 cc,4,4,In-line,Injection,43 litres,CNG,BS IV,,
1197 cc,4,4,In-line,Injection,43 litres,CNG,BS IV,,
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Diesel,BS IV,,25.32 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,18.15 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS 6,,20.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS 6,,20.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS 6,,20.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS 6,Yes,20.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS 6,Yes,20.4 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS 6,Yes,20.4 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,,25.2 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,,25.2 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,,25.2 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,25.2 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,25.2 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,25.2 km/litre
1197 cc,4,4,In-line,Injection,37 litres,Petrol,BS 6,Yes,20.4 km/litre
1248 cc,4,4,In-line,Injection,37 litres,Diesel,BS IV,Yes,25.2 km/litre
1199 cc,3,4,In-line,Injection,37 litres,Petrol,BS 6,,18 km/litre
1199 cc,3,4,In-line,Injection,37 litres,Petrol,BS 6,,
1199 cc,3,4,In-line,Injection,37 litres,Petrol,BS 6,Yes,
1199 cc,3,4,In-line,Injection,37 litres,Petrol,BS 6,Yes,
1199 cc,3,4,In-line,Injection,37 litres,Petrol,BS 6,Yes,
1497 cc,4,4,In-line,Injection,37 litres,Diesel,BS 6,,25 km/litre
1497 cc,4,4,In-line,Injection,37 litres,Diesel,BS 6,,
1497 cc,4,4,In-line,Injection,37 litres,Diesel,BS 6,Yes,
1497 cc,4,4,In-line,Injection,37 litres,Diesel,BS 6,Yes,
1497 cc,4,4,In-line,Injection,37 litres,Diesel,BS 6,Yes,
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS III,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS III,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS III,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS III,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS III,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,11.12 km/litre
1994 cc,4,4,In-line,Injection,50 litres,Diesel,BS III,,11.12 km/litre
1199 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23 km/litre
1199 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23 km/litre
1199 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23 km/litre
1199 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23 km/litre
1199 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23 km/litre
1199 cc,3,4,In-line,Injection,35 litres,Petrol,BS 6,,23 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.6 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,23 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.6 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.6 km/litre
1193 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,,17.6 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,23 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,20.65 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,23 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,Yes,23 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,23 km/litre
1248 cc,4,4,In-line,Injection,44 litres,Diesel,BS IV,,20.65 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,,19 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,,27.4 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,,19.5 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,,23.8 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,Yes,19 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,Yes,23.8 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,,27.4 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,Yes,27.4 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,,27.4 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,Yes,19.5 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,Yes,19.5 km/litre
1198 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,,19.5 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,Yes,27.4 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,Yes,19.5 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,Yes,27.4 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,Yes,19.5 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,Yes,27.4 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,Yes,19.5 km/litre
1498 cc,4,4,In-line,Injection,35 litres,Diesel,BS 6,Yes,27.4 km/litre
1199 cc,4,4,In-line,Injection,35 litres,Petrol,BS 6,Yes,19.5 km/litre
1298 cc,4,4,In-line,Injection,40 litres,Petrol,BS III,,11.9 km/litre
1298 cc,4,4,In-line,Injection,40 litres,Petrol,BS III,,11.9 km/litre
1197 cc,4,,In-line,Injection,45 litres,Petrol,BS IV,,17.52 km/litre
998 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.27 km/litre
1397 cc,4,4,In-line,Injection,,Diesel,BS IV,,23.7 km/litre
998 cc,4,,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.27 km/litre
998 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.27 km/litre
998 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.27 km/litre
998 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,18.15 km/litre
998 cc,4,,In-line,Injection,45 litres,Petrol,BS IV,Yes,18.15 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,17.52 km/litre
1397 cc,4,4,In-line,Injection,,Diesel,BS IV,,23.7 km/litre
1397 cc,4,4,In-line,Injection,,Diesel,BS IV,,23.7 km/litre
1397 cc,4,4,In-line,Injection,,Diesel,BS IV,,23.7 km/litre
1397 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,Yes,23.7 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1198 cc,3,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,17.6 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1497 cc,4,4,In-line,Injection,44 litres,Diesel,BS 6,Yes,23.97 km/litre
1368 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,15.7 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.4 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.4 km/litre
1248 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,20.4 km/litre
1368 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,15.7 km/litre
1493 cc,4,2,In-line,Injection,60 litres,Diesel,BS IV,,16.5 km/litre
1493 cc,4,2,In-line,Injection,60 litres,Diesel,BS IV,,16.5 km/litre
1493 cc,4,2,In-line,Injection,60 litres,Diesel,BS IV,,16.5 km/litre
1493 cc,4,2,In-line,Injection,60 litres,Diesel,BS IV,,16.5 km/litre
2523 cc,4,2,In-line,Injection,60 litres,Diesel,BS IV,,15.96 km/litre
2523 cc,4,4,In-line,Injection,60 litres,Diesel,BS III,,15.96 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,Yes,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,Yes,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,Yes,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,Yes,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,Yes,24.3 km/litre
1248 cc,4,4,In-line,Injection,48 litres,Diesel,BS IV,Yes,24.3 km/litre
1197 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,,17.19 km/litre
1197 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,Yes,17.19 km/litre
1197 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,Yes,17.19 km/litre
1396 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,Yes,21.19 km/litre
1497 cc,3,4,In-line,Injection,52 litres,Petrol,BS 6,,17 km/litre
1497 cc,3,4,In-line,Injection,52 litres,Petrol,BS 6,,17 km/litre
1497 cc,3,4,In-line,Injection,52 litres,Petrol,BS 6,Yes,17 km/litre
1497 cc,3,4,In-line,Injection,52 litres,Petrol,BS 6,Yes,14.8 km/litre
1498 cc,4,4,In-line,Injection,52 litres,Diesel,BS 6,,23 km/litre
1498 cc,4,4,In-line,Injection,52 litres,Diesel,BS 6,,23 km/litre
1498 cc,4,4,In-line,Injection,52 litres,Diesel,BS 6,Yes,23 km/litre
1498 cc,4,4,In-line,Injection,52 litres,Diesel,BS 6,Yes,23 km/litre
1497 cc,4,4,In-line,Injection,52 litres,Petrol,BS 6,Yes,23 km/litre
1498 cc,3,4,In-line,Injection,52 litres,Diesel,BS 6,Yes,23 km/litre
1497 cc,4,4,In-line,Injection,52 litres,Petrol,BS 6,Yes,23 km/litre
1498 cc,4,4,In-line,Injection,52 litres,Diesel,BS 6,Yes,23 km/litre
1498 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,,13.87 km/litre
1498 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,,13.87 km/litre
1498 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,,13.87 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.6 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.6 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.6 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.6 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.6 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.6 km/litre
1591 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.7 km/litre
1582 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,23.9 km/litre
1582 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,Yes,23.5 km/litre
1591 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,17.7 km/litre
1582 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,17.1 km/litre
1591 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.7 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,19.1 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,19.1 km/litre
1591 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,Yes,17.7 km/litre
1591 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.7 km/litre
1582 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,17.1 km/litre
1396 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,
1396 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,
1197 cc,,,In-line,Injection,42 litres,Petrol,BS 6,,17 km/litre
1197 cc,,,In-line,Injection,42 litres,Petrol,BS 6,,17 km/litre
1197 cc,,,In-line,Injection,42 litres,Petrol,BS 6,Yes,17 km/litre
1197 cc,,,In-line,Injection,42 litres,Petrol,BS 6,Yes,17 km/litre
1497 cc,,,In-line,Injection,42 litres,Diesel,BS 6,,20 km/litre
1497 cc,,,In-line,Injection,42 litres,Diesel,BS 6,Yes,20 km/litre
1497 cc,,,In-line,Injection,42 litres,Diesel,BS 6,Yes,20 km/litre
1497 cc,,,In-line,Injection,42 litres,Diesel,BS 6,Yes,20 km/litre
1497 cc,,,In-line,Injection,42 litres,Diesel,BS 6,Yes,20 km/litre
1497 cc,,,In-line,Injection,42 litres,Diesel,BS 6,Yes,20 km/litre
1497 cc,4,,In-line,Injection,42 litres,Diesel,BS 6,Yes,20 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,21.04 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,21.04 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.98 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,19.98 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,21.04 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,21.04 km/litre
1461 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,,21.04 km/litre
1598 cc,4,4,In-line,Injection,55 litres,Petrol,BS IV,,16.09 km/litre
1598 cc,4,4,In-line,Injection,55 litres,Petrol,BS IV,,16.09 km/litre
1598 cc,4,4,In-line,Injection,55 litres,Petrol,BS IV,,16.09 km/litre
1197 cc,4,2,In-line,Injection,55 litres,Petrol,BS IV,,18.19 km/litre
1197 cc,4,2,In-line,Injection,55 litres,Petrol,BS IV,,18.19 km/litre
1498 cc,4,4,In-line,Injection,55 litres,Diesel,BS IV,,20.64 km/litre
1498 cc,4,4,In-line,Injection,55 litres,Diesel,BS IV,,20.64 km/litre
1498 cc,4,4,In-line,Injection,55 litres,Diesel,BS IV,,20.64 km/litre
1498 cc,4,4,In-line,Injection,55 litres,Diesel,BS IV,,21.5 km/litre
1498 cc,4,4,In-line,Injection,55 litres,Diesel,BS IV,,20.64 km/litre
1498 cc,4,4,In-line,Injection,45 litres,Diesel,BS IV,,19.91 km/litre
1197 cc,4,4,In-line,Injection,45 litres,Petrol,BS IV,,17.21 km/litre
,,,In-line,Injection,,Electric,BS IV,,
,,,In-line,Injection,,Electric,BS IV,,
,,,,Injection,35 litres,Electric,BS VI,,
,,,,Injection,35 litres,Electric,BS VI,,
,,,,Injection,35 litres,Electric,BS VI,,
1497 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,,15.4 km/litre
1497 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,,15.4 km/litre
1497 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,Yes,15.4 km/litre
1497 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,Yes,15.4 km/litre
1497 cc,4,4,In-line,Injection,42 litres,Petrol,BS IV,Yes,16 km/litre
1498 cc,4,4,In-line,Injection,42 litres,Diesel,BS IV,,21.9 km/litre
1498 cc,4,4,In-line,Injection,42 litres,Diesel,BS IV,Yes,21.9 km/litre
1498 cc,4,4,In-line,Injection,42 litres,Diesel,BS IV,Yes,21.9 km/litre
2498 cc,4,4,In-line,Injection,60 litres,Diesel,BS IV,,13 km/litre
2498 cc,4,4,In-line,Injection,60 litres,Diesel,BS IV,,13 km/litre
2498 cc,4,4,In-line,Injection,60 litres,Diesel,BS IV,,13 km/litre
2596 cc,4,4,In-line,Injection,63 litres,Diesel,BS IV,,17 km/litre
2596 cc,4,4,In-line,Injection,63 litres,Diesel,BS IV,,17 km/litre
2149 cc,4,4,In-line,Injection,63 litres,Diesel,BS IV,,
2149 cc,4,4,In-line,Injection,63 litres,Diesel,BS IV,,
2596 cc,4,4,In-line,Injection,63 litres,Diesel,BS IV,,17 km/litre
2596 cc,4,4,In-line,Injection,63 litres,Diesel,BS IV,,17 km/litre
1462 cc,4,4,In-line,Injection,45 litres,Petrol,BS 6,Yes,19.01 km/litre
1462 cc,4,4,In-line,Injection,45 litres,Petrol,BS 6,Yes,19.01 km/litre
1462 cc,4,4,In-line,Injection,45 litres,Petrol,BS 6,Yes,17.01 km/litre
1462 cc,4,4,In-line,Injection,45 litres,Petrol,BS 6,Yes,17.01 km/litre
1368 cc,4,4,In-line,Injection,,Petrol,BS IV,Yes,17.1 km/litre
2179 cc,3,4,In-line,Injection,60 litres,Diesel,BS IV,,18.49 km/litre
2179 cc,3,4,In-line,Injection,60 litres,Diesel,BS IV,,18.49 km/litre
2179 cc,3,4,In-line,Injection,60 litres,Diesel,BS IV,,18.49 km/litre
