Height,Length,Width,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Power,Torque,Model
1555 mm,3895 mm,1735 mm,23.59 km/litre,1015 kg,5,174 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Cross
1540 mm,3991 mm,1740 mm,20.08 km/litre,1155 kg,5,172 mm,65PS@4000rpm,160Nm@2000rpm,Verito Vibe
1540 mm,3991 mm,1740 mm,20.08 km/litre,1155 kg,5,172 mm,65PS@4000rpm,160Nm@2000rpm,Verito Vibe
1540 mm,3991 mm,1740 mm,20.08 km/litre,1155 kg,5,172 mm,65PS@4000rpm,160Nm@2000rpm,Verito Vibe
1542 mm,3989 mm,1706 mm,20 km/litre,1210 kg,,205 mm,93PS@4000RPM,209Nm@2000rpm,Urban Cross
1542 mm,3989 mm,1706 mm,20 km/litre,1215 kg,,,93PS@4000RPM,209Nm@2000rpm,Urban Cross
1542 mm,3989 mm,1706 mm,17.1 km/litre,1215 kg,,205 mm,140ps@5500rpm,210Nm@2000-4000RPM,Urban Cross
1542 mm,3989 mm,1706 mm,20 km/litre,1215 kg,,205 mm,93PS@4000RPM,209Nm@2000rpm,Urban Cross
1540 mm,3995 mm,1745 mm,23.87 km/litre,910 kg,5,,89PS@6000 rpm,113Nm@4400 rpm,Glanza
1540 mm,3995 mm,1745 mm,21.01 km/litre,890 kg,5,,82PS@6000 rpm,113Nm@4200 rpm,Glanza
1540 mm,3995 mm,1745 mm,19.56 km/litre,935 kg,5,,82PS@6000 rpm,113Nm@4200 rpm,Glanza
1540 mm,3995 mm,1745 mm,19.56 km/litre,935 kg,5,,82PS@6000 rpm,113Nm@4200 rpm,Glanza
1540 mm,3995 mm,1745 mm,19.56 km/litre,935 kg,5,,82PS@6000 rpm,113Nm@4200 rpm,Glanza
1542 mm,3989 mm,1706 mm,20.5 km/litre,1245 kg,5,205 mm,93PS@4000RPM,209Nm@2000rpm,Avventura
1542 mm,3989 mm,1706 mm,20.5 km/litre,1240 kg,5,205 mm,93PS@4000RPM,209Nm@2000rpm,Avventura
1542 mm,3989 mm,1706 mm,20.5 km/litre,1255 kg,5,205 mm,93PS@4000RPM,209Nm@2000rpm,Avventura
1544 mm,3955 mm,1694 mm,18.2 km/litre,1042 kg,5,165 mm,90PS@6000rpm,110Nm@4800rpm,Jazz
1544 mm,3955 mm,1694 mm,19 km/litre,1066 kg,5,165 mm,90PS@6000rpm,110Nm@4800rpm,Jazz
1544 mm,3955 mm,1694 mm,18.2 km/litre,1044 kg,5,165 mm,90PS@6000rpm,110Nm@4800rpm,Jazz
1544 mm,3955 mm,1694 mm,19 km/litre,1064 kg,5,165 mm,90PS@6000rpm,110Nm@4800rpm,Jazz
1544 mm,3955 mm,1694 mm,27.3 km/litre,1139 kg,6,165 mm,100PS@3600rpm,200Nm@1750rpm,Jazz
1544 mm,3955 mm,1694 mm,27.3 km/litre,1146 kg,6,165 mm,100PS@3600rpm,200Nm@1750rpm,Jazz
1544 mm,3955 mm,1694 mm,27.3 km/litre,1155 kg,6,165 mm,100PS@3600rpm,200Nm@1750rpm,Jazz
1544 mm,3955 mm,1694 mm,18.2 km/litre,1066 kg,5,165 mm,89 bhp@6000rpm,110 Nm@4800rpm,Jazz
1657 mm,4398 mm,1818 mm,16.3 km/litre,1654 kg,9,,173PS@3750rpm,350Nm@1750-2500rpm,Compass Trailhawk
1657 mm,4398 mm,1818 mm,16.3 km/litre,1654 kg,9,,173PS@3750rpm,350Nm@1750-2500rpm,Compass Trailhawk
1840 mm,4825 mm,1860 mm,13.8 km/litre,,5,220 mm,177PS@3600rpm,380Nm@1800-2800rpm,Mu-X
1840 mm,4825 mm,1860 mm,13.8 km/litre,,5,220 mm,177PS@3600rpm,380Nm@1800-2800rpm,Mu-X
1845 mm,4850 mm,1960 mm,12.35 km/litre,,7,,178bhp@400rpm,420Nm@1600-2600rpm,Alturas G4
1.845 mm,4850 mm,1960 mm,12.05 km/litre,,7,,178Bhp @ 4000,420Nm @1600-2600,Alturas G4
1672 mm,4486 mm,1839 mm,17.06 km/litre,1720 kg,8,149 mm,141PS@4000rpm,340Nm@1750-2750rpm,Tiguan
1672 mm,4486 mm,1839 mm,17.06 km/litre,1720 kg,,149 mm,141PS@4000rpm,340Nm@1750-2750rpm,Tiguan
1679 mm,4592 mm,1855 mm,14.4 km/litre,,7,198 mm,154PS@6500rpm,189NM@4300rpm,Cr-V
1679 mm,4592 mm,1855 mm,19.5 km/litre,,9,198 mm,120PS@4000RPM,300NM@2000rpm,Cr-V
1689 mm,4592 mm,1855 mm,18.3 km/litre,1725 kg,9,208 mm,120PS@4000RPM,300NM@2000rpm,Cr-V
1483 mm,4861 mm,1864 mm,13.7 km/litre,1540 kg,7,164 mm,180PS@6200RPM,250NM@1250-5000rpm,Superb Sportline
1483 mm,4861 mm,1864 mm,18.19 km/litre,1565 kg,6,149 mm,177PS@4000RPM,350Nm@1500-3500rpm,Superb Sportline
1416 mm,4456 mm,1796 mm,20.38 km/litre,1340 kg,6,161 mm,143PS@4000rpm,320Nm@1750-3000rpm,A3
1416 mm,4456 mm,1796 mm,20.38 km/litre,1340 kg,6,161 mm,143PS@4000rpm,320Nm@1750-3000rpm,A3
1416 mm,4456 mm,1796 mm,19.2 km/litre,1340 kg,7,161 mm,150PS@6000RPM,250NM@1250-5000rpm,A3
1416 mm,4456 mm,1796 mm,19.2 km/litre,1340 kg,7,161 mm,150PS@6000RPM,250NM@1250-5000rpm,A3
1557 mm,4393 mm,1786 mm,14.81 km/litre,1425 kg,7,190 mm,122PS@5000rpm,200Nm@1250-4000rpm,Mercedes-Benz B-Class
1557 mm,4393 mm,1786 mm,15 km/litre,1577 kg,7,190 mm,136PS@4400RPM,300Nm@1600-3000rpm,Mercedes-Benz B-Class
1557 mm,4393 mm,1786 mm,14.81 km/litre,1425 kg,7,190 mm,122PS@5000rpm,200Nm@1250-4000rpm,Mercedes-Benz B-Class
1557 mm,4393 mm,1786 mm,15 km/litre,1577 kg,7,190 mm,136PS@4400RPM,300Nm@1600-3000rpm,Mercedes-Benz B-Class
1432 mm,4630 mm,1777 mm,15.04 km/litre,1510 kg,7,160 mm,183PS@5500rpm,300Nm@1200-4000rpm,Mercedes-Benz Cla-Class
1432 mm,4630 mm,1777 mm,17.9 km/litre,1570 kg,,160 mm,136PS@4400RPM,300Nm@1600-3000rpm,Mercedes-Benz Cla-Class
1432 mm,4630 mm,1777 mm,17.9 km/litre,1570 kg,,160 mm,136PS@4400RPM,300Nm@1600-3000rpm,Mercedes-Benz Cla-Class
1483 mm,4861 mm,1864 mm,18.19 km/litre,1565 kg,6,149 mm,177PS@4000RPM,350Nm@1500-3500rpm,Kodiaq
1483 mm,4861 mm,1864 mm,18.19 km/litre,1565 kg,6,149 mm,148bhp@4000RPM,340Nm@1500-3500rpm,Kodiaq
1483 mm,4861 mm,1864 mm,18.19 km/litre,1565 kg,6,149 mm,177PS@4000RPM,350Nm@1500-3500rpm,Kodiaq
1200 mm,4565 mm,2120 mm,10 km/litre,1580 kg,6,170 mm,250PS@5500RPM,340NM@2750-5000rpm,Avanti
1608 mm,4388 mm,1831 mm,15.73 km/litre,1585 kg,7,170 mm,148hp@3500-4000rpm,340Nm@1750-2750rpm,Q3
1608 mm,4388 mm,1831 mm,15.73 km/litre,1685 kg,7,170 mm,177PS@4200rpm,380Nm@1750-2500rpm,Q3
1608 mm,4388 mm,1831 mm,15.73 km/litre,1585 kg,7,170 mm,177PS@4200rpm,380Nm@1750-2500rpm,Q3
1608 mm,4388 mm,1831 mm,16.9 km/litre,1585 kg,7,170 mm,150PS@4200rpm,250Nm@1750-2500rpm,Q3
1425 mm,3982 mm,1727 mm,21.15 km/litre,1295 kg,6,,116PS@4000rpm,270Nm@1750-2250rpm,Cooper 5 Door
1415 mm,3850 mm,1727 mm,14.59 km/litre,1370 kg,6,,192PS@5000-6000rpm,280NM@1250-4600rpm,Convertible
1652 mm,4425 mm,1863 mm,,,8,211 mm,190bhp,400Nm,Xc40
1652 mm,4425 mm,1863 mm,,,8,211 mm,190bhp,400Nm,Xc40
1652 mm,4425 mm,1863 mm,,,8,211 mm,190PS@4000rpm,300Nm@1750rpm,Xc40
1441 mm,4253 mm,1801 mm,13.8 km/litre,1960 kg,,146 mm,192PS@6200RPM,280NM@1250rpm,Clubman
1427 mm,4726 mm,1842 mm,,1450 kg,7,,150PS@5000-6000rpm,250Nm@1500-3500,A4
1427 mm,4726 mm,1842 mm,,1450 kg,7,,150PS@5000-6000rpm,250Nm@1500-3500,A4
1414 mm,3874 mm,1727 mm,16.47 km/litre,1330 kg,8,,231hp@5200-6200rpm,320 Nm@1450-4800rpm,John Cooper Works
1416 mm,4691 mm,1850 mm,11 km/litre,1639 kg,8,125 mm,250PS@5500RPM,365Nm@1500-4000rpm,Xe
1416 mm,4691 mm,1850 mm,11 km/litre,1611 kg,8,125 mm,180PS@4000rpm,430NM@1750-2500rpm,Xe
1416 mm,4691 mm,1850 mm,11 km/litre,1611 kg,8,125 mm,180PS@4000rpm,430NM@1750-2500rpm,Xe
1416 mm,4691 mm,1850 mm,11 km/litre,1639 kg,8,125 mm,250PS@5500RPM,365Nm@1500-4000rpm,Xe
1460 mm,4961 mm,2091 mm,13.12 km/litre,1730 kg,8,,247PS@5500rpm,340Nm@1750-2000RPM,Xf
1457 mm,5252 mm,1899 mm,13.12 km/litre,1871 kg,8,100 mm,247PS@5500rpm,340Nm@1750-2000RPM,Xf
1457 mm,5252 mm,1899 mm,19.33 km/litre,1871 kg,8,100 mm,180ps@5500rpm,430Nm@1750-2000rpm,Xf
1457 mm,5067 mm,2091 mm,19.33 km/litre,1729 kg,8,,180ps@5500rpm,430Nm@1750-2000rpm,Xf
1457 mm,5067 mm,2091 mm,19.33 km/litre,1687 kg,8,,180ps@5500rpm,430Nm@1750-2000rpm,Xf
1409 mm,4421 mm,1793 mm,19.2 km/litre,1430 kg,7,160 mm,148 bhp @ 5100 rpm,250 Nm @ 1250 RPM,A3 Cabriolet
1455 mm,4933 mm,1874 mm,14.11 km/litre,1780 kg,7,,245PS@5000-6500rpm,370Nm@1600-4500rpm,A6
1455 mm,4933 mm,1874 mm,14.11 km/litre,1780 kg,7,,245PS@5000-6500rpm,370Nm@1600-4500rpm,A6
1678 mm,4657 mm,1881 mm,18.56 km/litre,1785 kg,8,212 mm,190PS@4000rpm,400Nm@1750-2500rpm,X3
1678 mm,4657 mm,1881 mm,18.56 km/litre,1785 kg,8,212 mm,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,X3
1678 mm,4657 mm,1881 mm,18.56 km/litre,1785 kg,8,212 mm,190PS@4000rpm,400Nm@1750-2500rpm,X3
1727 mm,4600 mm,2069 mm,,2087 kg,9,167 mm,179PS@4000rpm,430NM@1750rpm,Discovery Sport
1727 mm,4600 mm,2069 mm,,2087 kg,9,167 mm,179PS@4000rpm,430NM@1750rpm,Discovery Sport
1443 mm,4963 mm,1879 mm,,,,152 mm,190PS@4250rpm,400NM@1750rpm,S90
1384 mm,4718 mm,1843 mm,13.57 km/litre,1790 kg,7,,333PS@5400-6400RPM,500Nm@1370-4500rpm,S5
1745 mm,4922 mm,2218 mm,13.38 km/litre,,8,,265HP@4000rpm,620Nm@1500-2500rpm,X5
1745 mm,4922 mm,2218 mm,13.38 km/litre,,8,,265HP@4000rpm,620Nm@1500-2500rpm,X5
1745 mm,4922 mm,2218 mm,11.24 km/litre,,8,,340HP@4000rpm,450Nm@1500-5200rpm,X5
1391 mm,4784 mm,2080 mm,13 km/litre,,6,137 mm,401PS@6550RPM,515Nm@4250-4300RPM,Mustang
1802 mm,4828 mm,1943 mm,12.8 km/litre,2432 kg,,206 mm,240PS@3600rpm,570Nm@2000rpm,Grand Cherokee
1802 mm,4828 mm,1943 mm,12.8 km/litre,2455 kg,,,240PS@3600rpm,570Nm@2000rpm,Grand Cherokee
1749 mm,4846 mm,1954 mm,12.8 km/litre,2458 kg,8,210 mm,468 bhp @ 6250 rpm,624 Nm @ 4100 rpm,Grand Cherokee
1802 mm,4828 mm,1943 mm,8.61 km/litre,2455 kg,,,286PS@6350rpm,347Nm@4300rpm,Grand Cherokee
1398 mm,4703 mm,1786 mm,10 km/litre,1640 kg,,,334PS@6000RPM,480Nm@1600-4000RPM,Mercedes-Benz E-Class Cabriolet
1410 mm,4461 mm,1854 mm,9.8-10.0 km/litre,1625 kg,7,,410hp@5230-7000RPM,550Nm@2350-5230rpm,M2 Competition
1281 mm,4379 mm,1801 mm,7.4 km/litre,1440 kg,,,300PS@6500rpm,380Nm@1950-4500RPM,718
1281 mm,4379 mm,1801 mm,7.4 km/litre,1440 kg,,,300PS@6500rpm,380Nm@1950-4500RPM,718
1850 mm,5120 mm,1934 mm,11.6 km/litre,2535 kg,7,307 mm,258PS@3600rpm,619Nm@1600-2400RPM,Mercedes-Benz Gls
1850 mm,5146 mm,1982 mm,12 km/litre,2580 kg,7,307 mm,557PS@5500RPM,760Nm@5250RPM,Mercedes-Benz Gls
1850 mm,5146 mm,1982 mm,12 km/litre,2580 kg,7,307 mm,333PS@5250rpm,480Nm@5250rpm,Mercedes-Benz Gls
1850 mm,5146 mm,1982 mm,12 km/litre,2580 kg,7,307 mm,333PS@5250rpm,480Nm@5250rpm,Mercedes-Benz Gls
1850 mm,5120 mm,1934 mm,11.6 km/litre,2535 kg,7,307 mm,258PS@3600rpm,619Nm@1600-2400RPM,Mercedes-Benz Gls
1880 mm,4840 mm,1885 mm,11.13 km/litre,,5,,173PS@3400rpm,410Nm@1600-2800rpm,Land Cruiser Prado
1700 mm,5000 mm,1895 mm,18 km/litre,2195 kg,,,262PS@6000rpm,335Nm@4600rpm,Rx 450H
,4649 mm,,10.8 km/litre,1770 kg,7,160 mm,450PS@5700-6700rpm,600Nm@1900-5000rpm,Rs5
1479 mm,5120 mm,2169 mm,17.66 km/litre,,8,152 mm,265PS@4000RPM,620Nm@2000-2500RPM,7-Series
1479 mm,5120 mm,2169 mm,17.66 km/litre,,8,152 mm,265PS@4000RPM,620Nm@2000-2500RPM,7-Series
1479 mm,5120 mm,2169 mm,17.66 km/litre,,8,152 mm,265PS@4000RPM,620Nm@2000-2500RPM,7-Series
1479 mm,5120 mm,2169 mm,11.86 km/litre,,8,152 mm,340PS@5500-6500RPM,450Nm@1500-5200rpm,7-Series
1481 mm,5219 mm,2142 mm,,,8,152 mm,286PS@5000-6000RPM,450Nm@1380-5000RPM,7-Series
1481 mm,5219 mm,2142 mm,7.96 km/litre,,8,152 mm,609PS@5400-6500RPM,850Nm@1550-5000RPM,7-Series
1740 mm,5052 mm,1968 mm,,2115 kg,8,200 mm,340PS@5000rpm,500Nm@1370rpm,Q8
1494 mm,5116 mm,1899 mm,13.5 km/litre,2132 kg,7,140 mm,258PS@3600rpm,620Nm@1600-2400rpm,Mercedes-Benz S-Class
1494 mm,5246 mm,1899 mm,7.8 km/litre,2113 kg,7,109 mm,333PS@6000RPM,480Nm@1600-4000RPM,Mercedes-Benz S-Class
1411 mm,5027 mm,1899 mm,14 km/litre,2080 kg,7,140 mm,450PS@5500-6000RPM,900Nm@2750-4500rpm,Mercedes-Benz S-Class
1679 mm,5003 mm,2158 mm,7.9 km/litre,,6,,275PS@4000rpm,600Nm@2000-2600rpm,Levante
1679 mm,5003 mm,2158 mm,7.9 km/litre,,6,,350PS@5750rpm,500Nm@4500-5000rpm,Levante
1679 mm,5003 mm,2158 mm,7.9 km/litre,,6,,430PS@5750rpm,580Nm@4500-5000rpm,Levante
1938 mm,4763 mm,1855 mm,,2560 kg,9,205 mm,585hp@6000rpm,850Nm@2500-3500rpm,Mercedes-Benz G-Class
1969 mm,4817 mm,1931 mm,,2453 kg,9,241 mm,289PS@1200rpm,600Nm@2500rpm,Mercedes-Benz G-Class
1485 mm,5302 mm,1945 mm,,2030 kg,8,,340PS@5000rpm,500Nm@1370rpm,A8 L
1353 mm,4881 mm,1915 mm,10 km/litre,1880 kg,6,100 mm,460PS@7000RPM,520NM@4750rpm,Granturismo
1481 mm,5262 mm,1948 mm,7.9 km/litre,1925 kg,6,100 mm,275PS@7000rpm,600Nm@2000-2600rpm,Quattroporte
1345 mm,4770 mm,1920 mm,,1985 kg,,,299PS@6600rpm,350Nm@5100rpm,Lc 500H
1498 mm,5453 mm,1899 mm,7.8 km/litre,2200 kg,7,,630PS@4800RPM,1000Nm@2300-4300rpm,Mercedes-Benz Maybach
1494 mm,5246 mm,1899 mm,7.8 km/litre,2200 kg,9,,453PS@5500RPM,700Nm@1800-3500RPM,Mercedes-Benz Maybach
1427 mm,5049 mm,1937 mm,10.63 km/litre,2045 kg,7,215 mm,550PS@6000RPM,770Nm@1960 - 4500rpm,Panamera
1432 mm,5199 mm,1937 mm,10.63 km/litre,,7,215 mm,550PS@6000RPM,770Nm@1960 - 4500rpm,Panamera
1432 mm,5049 mm,1937 mm,10.63 km/litre,,7,215 mm,550PS@6000RPM,770Nm@1960 - 4500rpm,Panamera
1865 mm,5080 mm,1980 mm,18 km/litre,2660 kg,6,,261PS@6000rpm,650Nm@1600-2600rpm,Lx 450D
1417 mm,5027 mm,1899 mm,7.8 km/litre,2115 kg,,,455PS@5500RPM,700Nm@1800-3500RPM,Mercedes-Benz S-Class Cabriolet
1252 mm,4440 mm,2029 mm,6.71 km/litre,1670 kg,7,110 mm,610PS@8250rpm,560Nm@6500rpm,R8
1638 mm,5112 mm,2181 mm,7.8 km/litre,2200 kg,,,650PS@6000rpm,850Nm@2250-4500rpm,Urus
1401 mm,4807 mm,2226 mm,8.6 km/litre,2320 kg,8,142 mm,590PS@6000rpm,720Nm@1800rpm,Continental Gt
1320 mm,4569 mm,1910 mm,9 km/litre,1730 kg,7,119 mm,560PS@7500rpm,755NM@4750rpm,Portofino
1742 mm,5141 mm,1998 mm,19 km/litre,2422 kg,8,,608PS@6000RPM,900Nm@1350rpm,Bentayga
1742 mm,5140 mm,1998 mm,8.77 km/litre,2428 kg,8,,550PS@6000RPM,770Nm@1350rpm,Bentayga
1250 mm,4385 mm,1865 mm,,1680 kg,,130 mm,608PS@6500rpm,700Nm@1500rpm,Db 11
1203 mm,4571 mm,1951 mm,9 km/litre,1395 kg,7,113 mm,605PS@9000rpm,540Nm@6000rpm,458 Speciale
1550 mm,5399 mm,1948 mm,17.3 km/litre,2490 kg,8,150 mm,563PS@5250rpm,780Nm@1700rpm,Rolls-Royce Ghost Series Ii
1550 mm,5569 mm,1948 mm,7.29 km/litre,2490 kg,8,150 mm,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm,Rolls-Royce Ghost Series Ii
1507 mm,5269 mm,1947 mm,10.2 km/litre,2360 kg,8,,625PS@5600rpm,800Nm@1500-5500rpm,Rolls-Royce Wraith
1521 mm,5575 mm,2208 mm,9.5 km/litre,2685 kg,8,142 mm,512PS@4200rpm,1020Nm@1750rpm,Mulsanne
1835 mm,5341 mm,2000 mm,22.4-21.9 km/litre,2753 kg,8,,563@5000rpm,850 Nm@1600rpm,Rolls-Royce Cullinan
1598 mm,5612 mm,1987 mm,22.8 km/litre,2629 kg,8,164 mm,460PS@5350rpm,720Nm@3500rpm,Rolls-Royce Phantom Coupe
1212 mm,4544 mm,2038 mm,5.95 km/litre,1995 kg,7,,1479bhp@6700rpm,1600Nm@2000-6000rpm,Chiron
1212 mm,4544 mm,2038 mm,5.95 km/litre,1995 kg,7 Dual Clutch,,1600Nm@2000-6000rpm,1479bhp@6700rpm,Chiron
1652 mm,2752 mm,1312 mm,35 km/litre,,5,,13bhp@5500rpm,18.9Nm@4000rpm,Qute (Re60)
1652 mm,2752 mm,1312 mm,,,5,,12bhp@5500rpm,16.1Nm@4000rpm,Qute (Re60)
1475 mm,3445 mm,1490 mm,22.05 km/litre,730 kg,5,160 mm,48PS@6000rpm,69Nm@3500rpm,Alto
1475 mm,3445 mm,1490 mm,22.05 km/litre,732 kg,5,160 mm,48PS@6000rpm,69Nm@3500rpm,Alto
1475 mm,3445 mm,1490 mm,22.05 km/litre,755 kg,5,160 mm,47hp@6000rpm,69Nm@3500rpm,Alto
1475 mm,3445 mm,1490 mm,22.05 km/litre,757 kg,5,160 mm,48PS@6000rpm,69Nm@3500rpm,Alto
1475 mm,3445 mm,1490 mm,22.05 km/litre,762 kg,5,160 mm,48PS@6000rpm,69Nm@3500rpm,Alto
1475 mm,3445 mm,1490 mm,22.05 km/litre,755 kg,5,160 mm,47hp@6000rpm,69Nm@3500rpm,Alto
1475 mm,3445 mm,1490 mm,22.05 km/litre,757 kg,5,160 mm,48PS@6000rpm,69Nm@3500rpm,Alto
1475 mm,3445 mm,1490 mm,22.05 km/litre,762 kg,5,160 mm,48PS@6000rpm,69Nm@3500rpm,Alto
1549 mm,3565 mm,1520 mm,21.4 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.4 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.4 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.4 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.7 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.7 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.7 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.7 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.7 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1549 mm,3565 mm,1520 mm,21.7 km/litre,726 kg,5,,67PS@5500rpm,90Nm@3500rpm,S-Presso
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,,810 kg,5,165 mm,59PS@6000rpm,78Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,830 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,830 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1560 mm,3600 mm,1600 mm,23.1 km/litre,830 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio
1520 mm,3765 mm,1660 mm,,,5,,71PS@4000rpm,16.3Nm@1500-2750RPM,Grand I10 Prime
1520 mm,3765 mm,1660 mm,,,5,,71PS@4000rpm,16.3Nm@1500-2750RPM,Grand I10 Prime
1520 mm,3765 mm,1660 mm,19.77 km/litre,1003 kg,5,165 mm,83PS@6000rpm,114Nm@4000rpm,Grand I10 Prime
1520 mm,3765 mm,1660 mm,19.77 km/litre,1003 kg,5,165 mm,83PS@6000rpm,114Nm@4000rpm,Grand I10 Prime
1520 mm,3765 mm,1660 mm,,935 kg,5,165 mm,83PS@6000rpm,114Nm@4000rpm,Grand I10 Prime
1520 mm,3765 mm,1660 mm,,935 kg,5,165 mm,83PS@6000rpm,114Nm@4000rpm,Grand I10 Prime
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,25.32 km/litre,,5,170 mm,77PS@3750RPM,190NM@1750-2250RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1655 mm,3700 mm,1735 mm,18.15 km/litre,,5,170 mm,82PS@5500RPM,115NM@3500-3600RPM,Kuv100 Nxt
1530 mm,3840 mm,1735 mm,20.4 km/litre,855 kg,5,163 mm,83PS@6000rpm,113Nm@4200RPM,Swift
1530 mm,3840 mm,1735 mm,20.4 km/litre,863 kg,5,163 mm,83PS@6000rpm,113Nm@4200RPM,Swift
1530 mm,3840 mm,1735 mm,20.4 km/litre,863 kg,5,163 mm,83PS@6000rpm,113Nm@4200RPM,Swift
1530 mm,3840 mm,1735 mm,20.4 km/litre,871 kg,5,163 mm,83PS@6000rpm,113Nm@4200RPM,Swift
1530 mm,3840 mm,1735 mm,20.4 km/litre,871 kg,5,163 mm,83PS@6000rpm,113Nm@4200RPM,Swift
