Automatic_Headlamps,ESP_(Electronic_Stability_Program),Number_of_Airbags,Gear_Shift_Reminder,Fasten_Seat_Belt_Warning,Door_Ajar_Warning,ABS_(Anti-lock_Braking_System),Passenger_Side_Seat-Belt_Reminder,High_Speed_Alert_System,Low_Fuel_Warning,Engine_Malfunction_Light,Child_Safety_Locks,Central_Locking,Ex-Showroom_Price,ARAI_Certified_Mileage,Power,Torque
,,2,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,94,464",20.1 km/litre,78PS@5000rpm,104Nm@4000rpm
,,2,,Yes,,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,18,015",20.1 km/litre,78PS@5000rpm,104Nm@4000rpm
,,2,,,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 4,22,444",23.1 km/litre,68PS@6000rpm,90Nm@3500rpm
,,2,,,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 4,80,670",,59bhp@6000rpm,78Nm@3500rpm
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 4,29,990",20.3 km/litre,69PS@5500rpm,99.04nm@4500RPM
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,03,990",20.3 km/litre,69PS@5500rpm,99.04nm@4500RPM
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,47,990",,59PS@5500RPM,99.04nm@4500RPM
,,1,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,30,990",20.3 km/litre,69PS@5500rpm,10.1kgm@4500RPM
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,12,990",20.3 km/litre,69PS@5500rpm,10.1kgm@4500RPM
,,1,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,78,990",,59PS@5500RPM,8.3KGM@4500rpm
,,1,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,70,990",20.3 km/litre,69PS@5500rpm,10.1kgm@4500RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,56,490",20.3 km/litre,69PS@5500rpm,99.04nm@4500RPM
,Yes,2,Yes,,,Yes,,,Yes,Yes,Yes,,"Rs. 4,60,000",23 km/litre,86PS@6000rpm,114NM@3300rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,20,000",23 km/litre,86PS@6000rpm,114NM@3300rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,70,000",23 km/litre,86PS@6000rpm,114NM@3300rpm
,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,99,000",23 km/litre,86PS@6000rpm,114NM@3300rpm
