Automatic_Headlamps,ESP_(Electronic_Stability_Program),Number_of_Airbags,Gear_Shift_Reminder,Fasten_Seat_Belt_Warning,Door_Ajar_Warning,ABS_(Anti-lock_Braking_System),Passenger_Side_Seat-Belt_Reminder,High_Speed_Alert_System,Low_Fuel_Warning,Engine_Malfunction_Light,Child_Safety_Locks,Central_Locking,Ex-Showroom_Price,ARAI_Certified_Mileage,Power,Torque
Yes,Yes,6,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,56,400",19 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,81,400",19 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,45,900",24.4 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
,,2,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 7,11,500",21.66 km/litre,110PS@4400rpm,250Nm@1500-2500rpm
,,2,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 8,10,500",21.66 km/litre,110PS@4400rpm,250Nm@1500-2500rpm
,Yes,2,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 9,99,900",21.73 km/litre,110PS@4400rpm,250Nm@1500-2500rpm
,,2,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 9,25,500",21.66 km/litre,110PS@4400rpm,250Nm@1500-2500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,94,000",19 km/litre,76PS@6200RPM,95Nm@3000-4300rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,65,000",19 km/litre,76PS@6200RPM,95Nm@3000-4300rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,99,900",19 km/litre,76PS@6200RPM,95Nm@3000-4300rpm
,Yes,2,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 9,99,900",21.73 km/litre,110PS@4400rpm,250Nm@1500-2500rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 5,98,500",20.4 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,97,400",20.4 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,63,400",20.4 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,99,400",26.1 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
,,2,Yes,,Yes,Yes,,,Yes,Yes,,,"Rs. 7,37,400",26.1 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,,,"Rs. 7,77,400",26.1 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,17,400",26.1 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
Yes,,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,62,400",26.1 km/litre,100PS@3700RPM,215Nm@1750-3000RPM
Yes,,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,82,400",19.4 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,37,400",19.4 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,58,314",,96PS@6300rpm,120Nm@4250rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,62,400",19.4 km/litre,96PS@6500rpm,120Nm@4250rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,42,400",26.1 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,27,100",16.78 km/litre,90PS@5600rpm,132Nm@3000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,18,600",16.78 km/litre,90PS@5600rpm,132Nm@3000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,34,700",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,28,600",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,88,400",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 7,78,400",16.78 km/litre,90PS@5600rpm,132Nm@3000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,89,600",16.78 km/litre,90PS@5600rpm,132Nm@3000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,99,600",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,13,400",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 8,03,400",16.78 km/litre,90PS@5600rpm,132Nm@3000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,02,000",16.78 km/litre,90PS@5600rpm,132Nm@3000rpm
,,2,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 6,50,000",17.71 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,97,500",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,66,000",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,2,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 6,68,500",17.71 km/litre,80PS@5600rpm,104Nm@3100rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,16,000",23.59 km/litre,68PS@3800rpm,170Nm@1800-2400rpm
,,,,Yes,,,,,Yes,Yes,Yes,,"Rs. 6,57,628",20.08 km/litre,65PS@4000rpm,160Nm@2000rpm
,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 6,85,729",20.08 km/litre,65PS@4000rpm,160Nm@2000rpm
,,1,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,50,428",20.08 km/litre,65PS@4000rpm,160Nm@2000rpm
Yes,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,77,618",20 km/litre,93PS@4000RPM,209Nm@2000rpm
Yes,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,39,074",20 km/litre,93PS@4000RPM,209Nm@2000rpm
Yes,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,77,516",17.1 km/litre,140ps@5500rpm,210Nm@2000-4000RPM
Yes,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,10,211",20 km/litre,93PS@4000RPM,209Nm@2000rpm
,,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 7,21,900",23.87 km/litre,89PS@6000 rpm,113Nm@4400 rpm
Yes,,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 7,58,200",21.01 km/litre,82PS@6000 rpm,113Nm@4200 rpm
Yes,,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 8,29,900",19.56 km/litre,82PS@6000 rpm,113Nm@4200 rpm
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,90,200",19.56 km/litre,82PS@6000 rpm,113Nm@4200 rpm
Yes,,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 6,97,900",19.56 km/litre,82PS@6000 rpm,113Nm@4200 rpm
,,,,,Yes,Yes,,,,,Yes,Yes,"Rs. 7,96,132",20.5 km/litre,93PS@4000RPM,209Nm@2000rpm
,,,,,Yes,,,,,Yes,Yes,Yes,"Rs. 7,11,801",20.5 km/litre,93PS@4000RPM,209Nm@2000rpm
Yes,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,76,341",20.5 km/litre,93PS@4000RPM,209Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,45,000",18.2 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,09,000",19 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,89,000",18.2 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,65,000",19 km/litre,90PS@6000rpm,110Nm@4800rpm
,,2,,,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 8,16,500",27.3 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,96,500",27.3 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,40,500",27.3 km/litre,100PS@3600rpm,200Nm@1750rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,28,000",18.2 km/litre,89 bhp@6000rpm,110 Nm@4800rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 26,80,000",16.3 km/litre,173PS@3750rpm,350Nm@1750-2500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 27,60,000",16.3 km/litre,173PS@3750rpm,350Nm@1750-2500rpm
Yes,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 27,34,834",13.8 km/litre,177PS@3600rpm,380Nm@1800-2800rpm
Yes,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 29,31,534",13.8 km/litre,177PS@3600rpm,380Nm@1800-2800rpm
Yes,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 27,70,150",12.35 km/litre,178bhp@400rpm,420Nm@1600-2600rpm
Yes,Yes,9,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 30,70,150",12.05 km/litre,178Bhp @ 4000,420Nm @1600-2600
,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 28,14,500",17.06 km/litre,141PS@4000rpm,340Nm@1750-2750rpm
,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 31,53,500",17.06 km/litre,141PS@4000rpm,340Nm@1750-2750rpm
,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 28,27,001",14.4 km/litre,154PS@6500rpm,189NM@4300rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 30,67,001",19.5 km/litre,120PS@4000RPM,300NM@2000rpm
,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 32,77,001",18.3 km/litre,120PS@4000RPM,300NM@2000rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 28,99,599",13.7 km/litre,180PS@6200RPM,250NM@1250-5000rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 31,49,599",18.19 km/litre,177PS@4000RPM,350Nm@1500-3500rpm
,Yes,9,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 30,21,200",20.38 km/litre,143PS@4000rpm,320Nm@1750-3000rpm
,Yes,9,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 32,21,200",20.38 km/litre,143PS@4000rpm,320Nm@1750-3000rpm
,Yes,9,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 29,20,750",19.2 km/litre,150PS@6000RPM,250NM@1250-5000rpm
,Yes,9,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 31,20,750",19.2 km/litre,150PS@6000RPM,250NM@1250-5000rpm
Yes,Yes,7,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 29,88,311",14.81 km/litre,122PS@5000rpm,200Nm@1250-4000rpm
Yes,Yes,7,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 30,89,851",15 km/litre,136PS@4400RPM,300Nm@1600-3000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 31,98,662",14.81 km/litre,122PS@5000rpm,200Nm@1250-4000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 33,03,282",15 km/litre,136PS@4400RPM,300Nm@1600-3000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 35,99,000",15.04 km/litre,183PS@5500rpm,300Nm@1200-4000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 31,72,000",17.9 km/litre,136PS@4400RPM,300Nm@1600-3000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 36,99,000",17.9 km/litre,136PS@4400RPM,300Nm@1600-3000rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 32,99,599",18.19 km/litre,177PS@4000RPM,350Nm@1500-3500rpm
Yes,Yes,9,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 36,78,599",18.19 km/litre,148bhp@4000RPM,340Nm@1500-3500rpm
Yes,Yes,9,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 32,99,599",18.19 km/litre,177PS@4000RPM,350Nm@1500-3500rpm
,,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,"Rs. 34,07,407",10 km/litre,250PS@5500RPM,340NM@2750-5000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 36,77,200",15.73 km/litre,148hp@3500-4000rpm,340Nm@1750-2750rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 39,92,200",15.73 km/litre,177PS@4200rpm,380Nm@1750-2500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 43,61,000",15.73 km/litre,177PS@4200rpm,380Nm@1750-2500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 34,96,750",16.9 km/litre,150PS@4200rpm,250Nm@1750-2500rpm
,Yes,2,,Yes,Yes,Yes,,,Yes,,Yes,,"Rs. 36,00,000",21.15 km/litre,116PS@4000rpm,270Nm@1750-2250rpm
Yes,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 38,30,000",14.59 km/litre,192PS@5000-6000rpm,280NM@1250-4600rpm
Yes,,7,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 39,90,000",,190bhp,400Nm
Yes,Yes,7,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 43,90,000",,190bhp,400Nm
Yes,,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 39,90,000",,190PS@4000rpm,300Nm@1750rpm
Yes,Yes,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 41,20,000",13.8 km/litre,192PS@6200RPM,280NM@1250rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 41,49,000",,150PS@5000-6000rpm,250Nm@1500-3500
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 45,07,000",,150PS@5000-6000rpm,250Nm@1500-3500
Yes,Yes,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 43,50,000",16.47 km/litre,231hp@5200-6200rpm,320 Nm@1450-4800rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 44,98,000",11 km/litre,250PS@5500RPM,365Nm@1500-4000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 44,98,000",11 km/litre,180PS@4000rpm,430NM@1750-2500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 46,33,000",11 km/litre,180PS@4000rpm,430NM@1750-2500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 46,33,000",11 km/litre,250PS@5500RPM,365Nm@1500-4000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 54,36,329",13.12 km/litre,247PS@5500rpm,340Nm@1750-2000RPM
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 60,73,446",13.12 km/litre,247PS@5500rpm,340Nm@1750-2000RPM
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 61,38,811",19.33 km/litre,180ps@5500rpm,430Nm@1750-2000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 55,06,622",19.33 km/litre,180ps@5500rpm,430Nm@1750-2000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 49,77,080",19.33 km/litre,180ps@5500rpm,430Nm@1750-2000rpm
Yes,Yes,7,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 50,38,000",19.2 km/litre,148 bhp @ 5100 rpm,250 Nm @ 1250 RPM
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 54,42,200",14.11 km/litre,245PS@5000-6500rpm,370Nm@1600-4500rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 59,42,200",14.11 km/litre,245PS@5000-6500rpm,370Nm@1600-4500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 59,30,000",18.56 km/litre,190PS@4000rpm,400Nm@1750-2500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 58,80,000",18.56 km/litre,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 56,00,000",18.56 km/litre,190PS@4000rpm,400Nm@1750-2500rpm
Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 57,06,000",,179PS@4000rpm,430NM@1750rpm
Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 60,89,000",,179PS@4000rpm,430NM@1750rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 58,90,000",,190PS@4250rpm,400NM@1750rpm
Yes,Yes,10,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 72,43,000",13.57 km/litre,333PS@5400-6400RPM,500Nm@1370-4500rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 73,30,000",13.38 km/litre,265HP@4000rpm,620Nm@1500-2500rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 82,90,000",13.38 km/litre,265HP@4000rpm,620Nm@1500-2500rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 82,90,000",11.24 km/litre,340HP@4000rpm,450Nm@1500-5200rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 74,62,000",13 km/litre,401PS@6550RPM,515Nm@4250-4300RPM
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 78,82,867",12.8 km/litre,240PS@3600rpm,570Nm@2000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 89,31,819",12.8 km/litre,240PS@3600rpm,570Nm@2000rpm
Yes,Yes,7,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 1,14,00,000",12.8 km/litre,468 bhp @ 6250 rpm,624 Nm @ 4100 rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 75,15,000",8.61 km/litre,286PS@6350rpm,347Nm@4300rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 77,11,338",10 km/litre,334PS@6000RPM,480Nm@1600-4000RPM
Yes,Yes,10,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,"Rs. 81,80,000",9.8-10.0 km/litre,410hp@5230-7000RPM,550Nm@2350-5230rpm
,Yes,4,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 89,95,000",7.4 km/litre,300PS@6500rpm,380Nm@1950-4500RPM
Yes,Yes,4,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 85,95,000",7.4 km/litre,300PS@6500rpm,380Nm@1950-4500RPM
Yes,Yes,9,,Yes,Yes,Yes,,,Yes,,,Yes,"Rs. 88,20,000",11.6 km/litre,258PS@3600rpm,619Nm@1600-2400RPM
,Yes,9,,Yes,Yes,Yes,,,Yes,,,Yes,"Rs. 1,91,99,181",12 km/litre,557PS@5500RPM,760Nm@5250RPM
,Yes,9,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,"Rs. 87,76,900",12 km/litre,333PS@5250rpm,480Nm@5250rpm
Yes,Yes,9,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,"Rs. 86,90,000",12 km/litre,333PS@5250rpm,480Nm@5250rpm
Yes,Yes,9,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,"Rs. 86,90,000",11.6 km/litre,258PS@3600rpm,619Nm@1600-2400RPM
Yes,Yes,7,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 96,30,000",11.13 km/litre,173PS@3400rpm,410Nm@1600-2800rpm
Yes,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 99,00,000",18 km/litre,262PS@6000rpm,335Nm@4600rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,11,41,200",10.8 km/litre,450PS@5700-6700rpm,600Nm@1900-5000rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,22,90,000",17.66 km/litre,265PS@4000RPM,620Nm@2000-2500RPM
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,32,00,000",17.66 km/litre,265PS@4000RPM,620Nm@2000-2500RPM
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,35,10,000",17.66 km/litre,265PS@4000RPM,620Nm@2000-2500RPM
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,35,10,000",11.86 km/litre,340PS@5500-6500RPM,450Nm@1500-5200rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,65,00,000",,286PS@5000-6000RPM,450Nm@1380-5000RPM
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 2,42,50,000",7.96 km/litre,609PS@5400-6500RPM,850Nm@1550-5000RPM
,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,33,59,500",,340PS@5000rpm,500Nm@1370rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,35,58,438",13.5 km/litre,258PS@3600rpm,620Nm@1600-2400rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,39,76,653",7.8 km/litre,333PS@6000RPM,480Nm@1600-4000RPM
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,"Rs. 2,55,00,000",14 km/litre,450PS@5500-6000RPM,900Nm@2750-4500rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,45,12,054",7.9 km/litre,275PS@4000rpm,600Nm@2000-2600rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,48,63,774",7.9 km/litre,350PS@5750rpm,500Nm@4500-5000rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,53,83,399",7.9 km/litre,430PS@5750rpm,580Nm@4500-5000rpm
Yes,Yes,10,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Rs. 2,18,75,136",,585hp@6000rpm,850Nm@2500-3500rpm
Yes,Yes,10,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,"Rs. 1,50,00,000",,289PS@1200rpm,600Nm@2500rpm
,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,56,00,000",,340PS@5000rpm,500Nm@1370rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,72,29,579",10 km/litre,460PS@7000RPM,520NM@4750rpm
Yes,Yes,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 1,79,00,000",7.9 km/litre,275PS@7000rpm,600Nm@2000-2600rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 1,96,00,000",,299PS@6600rpm,350Nm@5100rpm
Yes,Yes,8,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 2,73,08,312",7.8 km/litre,630PS@4800RPM,1000Nm@2300-4300rpm
