Torque,Power,ARAI_Certified_Mileage,Ex-Showroom_Price
113Nm@4200RPM,83PS@6000rpm,20.89 km/litre,"Rs. 6,30,320"
113Nm@4200RPM,83PS@6000rpm,20.89 km/litre,"Rs. 5,83,320"
96Nm@3500rpm,72PS@62050rpm,20.5 km/litre,"Rs. 4,95,000"
96Nm@3500rpm,72PS@62050rpm,20.5 km/litre,"Rs. 5,59,000"
96Nm@3500rpm,72PS@62050rpm,20.5 km/litre,"Rs. 6,09,000"
96Nm@3500rpm,72PS@62050rpm,20.5 km/litre,"Rs. 6,63,000"
103.9Nm@3500-4250rpm,76.6PS@5800rpm,16 km/litre,"Rs. 5,06,000"
152Nm@2500RPM,64PS@4000rpm,16 km/litre,"Rs. 5,68,623"
103.9Nm@3500-4250rpm,76.6PS@5800rpm,16 km/litre,"Rs. 6,70,000"
152Nm@2250RPM,64PS@4000rpm,16 km/litre,"Rs. 6,03,000"
152Nm@2250RPM,64PS@4000rpm,16 km/litre,"Rs. 7,39,000"
183Nm@1800-2400rpm,72PS@4000rpm,23.7 km/litre,"Rs. 7,39,000"
104Nm@3100rpm,80PS@5600rpm,18.16 km/litre,"Rs. 5,20,300"
104Nm@3100rpm,80PS@5600rpm,18.16 km/litre,"Rs. 5,81,000"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 6,47,800"
104Nm@3100rpm,80PS@5600rpm,18.16 km/litre,"Rs. 6,30,000"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,45,000"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,04,000"
104Nm@3100rpm,80PS@5600rpm,18.16 km/litre,"Rs. 5,97,700"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,20,700"
104Nm@3100rpm,80PS@5600rpm,18.16 km/litre,"Rs. 6,41,700"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,56,700"
104Nm@3100rpm,80PS@5600rpm,18.16 km/litre,"Rs. 5,58,400"
